trait,comparison,n_pairs,mean_bias,bias_SE,bias_CI_lower,bias_CI_upper,bias_P,bias_percent,TEM,relative_TEM_percent,random_TEM,relative_random_TEM_percent,bias_P_Holm
midtibia,round_2_minus_round_1,47,-0.007414893617021309,0.015211128399472229,-0.03803330702691729,0.023203519792874674,0.628243963945915,-0.05790866631855026,0.07313818529971995,0.5711929241902176,0.073738680750695,0.5758826598077988,0.628243963945915
midtibia,round_3_minus_round_1,48,0.013114583333333303,0.012184786609963623,-0.011398045541082482,0.03762721220774909,0.28728344561667174,0.10224288735862906,0.059791456155262435,0.4661414671980368,0.059693019638215404,0.4653740441340623,0.5778844996853659
midtibia,round_3_minus_round_2,47,0.02021276595744679,0.015286855834492097,-0.010558078873118142,0.050983610788011724,0.19262816656178863,0.15777834799426335,0.07469338032134976,0.5830472770535373,0.07410578311209462,0.5784605660038227,0.5778844996853659
hindfemur,round_2_minus_round_1,48,-0.0730833333333337,0.019765683765762643,-0.11284676014648912,-0.03331990652017827,5.686181029427189e-4,-0.3926456177424799,0.10886514498069023,0.5848860492802858,0.09683167928666314,0.5202353641580848,0.0017058543088281568
hindfemur,round_3_minus_round_1,48,-0.044979166666667125,0.02767822629113951,-0.10066057584473281,0.01070224251139857,0.1108348175609498,-0.24147160108310162,0.13789322560106704,0.7402826782266454,0.1355950627971558,0.727944942938603,0.2216696351218996
hindfemur,round_3_minus_round_2,48,0.028104166666666597,0.02183217925560933,-0.01581651284485324,0.07202484617818644,0.20429945140076086,0.15117437499089442,0.10768499102320044,0.5792454694321403,0.10695539829843745,0.5753209366227484,0.2216696351218996
hindtibia,round_2_minus_round_1,48,-0.1467812499999998,0.0585550672547465,-0.26457885108054446,-0.028983648919455124,0.015702328035418697,-0.7264718323964359,0.30223620126345974,1.4958728512558919,0.28686007325696133,1.4197710065853835,0.04710698410625609
hindtibia,round_3_minus_round_1,48,-0.1110624999999997,0.051252788423105496,-0.2141698109123809,-0.007955189087618483,0.03533972663904349,-0.5492017721569832,0.26057316630842864,1.2885289338268602,0.25108635906286664,1.2416168676355324,0.07067945327808697
hindtibia,round_3_minus_round_2,48,0.035718750000000084,0.028928266725590384,-0.022477416163850794,0.09391491616385096,0.22306659915527383,0.17727182843561143,0.14249127349011026,0.707182882595571,0.1417189852416591,0.7033500231063035,0.22306659915527383
eye,round_2_minus_round_1,48,0.001416666666666699,0.006929184178575037,-0.012523053872468009,0.015356387205801408,0.8388852114895277,0.05118593290126501,0.033605400111688395,1.2142050036967105,0.03394593114255007,1.2265088144001108,0.9151884534107455
eye,round_3_minus_round_1,48,-0.004812500000000017,0.006425300876720325,-0.017738538086601675,0.008113538086601643,0.45759422670537275,-0.17407752101552817,0.031333139405428236,1.1333808277051196,0.03147741718364439,1.1385996366338462,0.9151884534107455
eye,round_3_minus_round_2,48,-0.006229166666666716,0.0058658911265577355,-0.018029817495090847,0.0055714841617574146,0.29369368690062864,-0.22526340373756618,0.028775079640781746,1.0405841952163726,0.028736880293572065,1.0392028041839168,0.881081060701886
