ID,left_forefemur,left_foretibia,left_ear,right_forefemur,right_foretibia,right_ear
NBFT,13.542,14.187,2.99,13.455,14.171,3.256
NDWV,12.534,12.962,2.748,12.679,13.09,2.817
NFQJ,12.596,13.112,2.579,12.269,13.079,3.026
NFZB,12.322,12.895,3.193,12.479,13.151,3.492
NLMH,12.579,12.701,3.445,12.424,13.051,3.177
NMCP,13.3,13.761,3.112,13.223,13.921,3.074
NRDG,11.583,12.128,2.587,11.711,12.251,2.689
NRVV,11.344,11.967,2.445,11.055,11.673,2.506
NSFR,12.488,12.974,2.713,12.152,12.805,2.677
NUDB,12.769,13.164,2.728,12.248,13.188,2.892
NVHP,12.146,12.602,2.633,11.981,12.366,2.365
OCGB,11.554,12.653,2.821,11.899,12.605,2.867
ODLJ,11.824,12.473,2.952,11.214,12.467,2.919
OHRS,12.505,13.645,3.269,12.411,13.048,3.091
OHZZ,12.217,12.62,2.972,11.636,12.445,2.745
OLFY,12.162,12.694,2.893,11.631,12.52,3.029
ONAU,11.715,12.636,2.963,11.084,12.493,3.069
OQDA,12.287,12.464,2.721,11.856,12.493,2.623
OTIL,13.246,13.743,3.057,12.574,13.698,3.224
OVOZ,11.541,12.72,2.932,11.19,12.265,2.985
OWAU,13.124,12.768,2.338,12.317,12.987,2.881
OZHE,11.262,11.691,2.761,10.976,11.935,2.987
PAQJ,11.268,11.739,2.205,10.588,11.701,2.268
PBXK,11.2,11.885,2.387,10.64,11.553,2.562
PFPR,10.798,11.384,2.419,10.377,11.042,2.298
PIKP,13.649,14.252,3.11,13.225,14.31,2.689
PMTK,10.537,11.017,2.339,10.14,11.297,2.473
PQXQ,12.066,12.92,3.01,11.547,12.803,2.682
PTRO,11.835,11.945,2.555,11.675,12.025,2.867
PVUO,12.461,13.732,3.383,12.656,13.024,2.76
PVXU,12.643,12.861,3.056,12.558,12.706,3.178
PWML,10.058,11.11,1.935,10.088,10.915,2.069
PXBQ,11.879,12.426,2.371,11.473,12.201,2.698
PXBW,11.576,11.978,2.724,11.203,11.666,2.352
PZFT,13.491,13.855,3.441,13.104,13.69,3.676
PZMO,10.436,11.336,2.281,10.137,10.849,2.105
PZWX,12.43,12.783,3.051,11.815,12.4,2.617
