ID,right_forefemur,right_foretibia,right_ear
YCTD,10.271,,
YFAT,13.031,13.666,3.654
YGFO,11.188,11.939,2.435
YMRF,11,12.188,2.632
YNBA,12.576,12.888,3.096
YNFN,11.588,12.299,2.818
YNZS,12.515,13.334,2.961
YRUA,11.749,12.281,3.004
YRUH,12.305,13.141,3.357
YSQQ,9.776,10.792,2.086
YUWR,10.762,11.625,2.356
YYNS,11.796,12.453,3.327
YZUH,10.383,11.166,1.801
ZAQJ,10.014,10.883,2.403
ZAVH,10.3,11.144,2.074
ZFKD,10.159,11.34,2.218
ZFXN,12.372,13.924,2.964
ZIER,13.404,13.504,3.072
ZRDE,13.326,13.833,2.957
ZSUF,10.736,11.778,2.527
ZVNV,13.119,13.329,2.966
ZWYP,11.916,13.275,3.054
