ID,left_midfemur,left_midtibia,right_midfemur,right_midtibia
KECL,12.268,13.216,12.446,13.093
KEHR,12.154,13.467,12.237,13.299
KEMO,11.972,13.245,12.094,13.363
KIIU,12.636,13.915,12.618,13.825
KORY,9.023,10.321,9.169,10.062
KPNC,10.408,11.596,10.56,11.73
KSLC,12.091,13.522,12.101,13.191
KTFS,11.469,12.727,11.41,12.651
KTNC,11.649,12.859,11.689,12.667
KVWU,12.15,13.881,12.121,13.562
KWNJ,11.523,12.474,11.65,12.615
KYRB,11.454,13.362,11.66,13.093
LAZJ,11.293,12.157,11.179,12.098
LEZS,11.318,12.201,11.383,12.521
LGMD,12.461,13.186,12.465,13.491
LHWT,13.042,13.784,13.166,14.383
LIHW,11.43,12.479,11.647,12.5
LJJN,12.657,14.373,12.781,14.396
LKHO,10.831,12.13,10.769,11.905
LLJC,12.876,13.817,12.985,13.97
LMMX,11.558,12.362,11.586,12.453
LNMX,11.656,12.19,11.758,12.264
LQLO,12.38,13.254,12.407,13.208
LRRL,12.885,13.945,,
LRSS,12.211,13.344,12.247,13.306
LTEN,11.282,12.598,10.944,12.53
LUXM,11.928,13.706,12.189,13.651
LYTH,11.882,12.669,11.686,12.231
MAKB,11.989,13.25,12.023,13.219
MEAE,11.401,11.983,11.377,12.24
MEMQ,10.068,11.094,10.053,11.411
MJSX,9.962,11.029,10.058,11.053
MKMF,11.809,13.925,11.607,13.669
MLES,12.014,13.372,11.954,13.186
MONY,12.204,12.8,12.003,12.831
MQFA,12.829,13.831,12.887,13.671
MTZI,11.581,12.57,11.572,12.505
MUVY,12.579,13.908,12.466,14.018
MVOV,9.499,10.77,9.5,10.738
MXAY,12.036,13.461,11.996,13.481
MYTW,12.719,13.575,12.765,13.522
NACP,10.993,12.26,11.096,12.357
NAPZ,11.134,12.282,11.038,12.313
NBFT,11.964,13.33,11.982,13.464
NDWV,11.924,13.035,11.799,12.879
NFQJ,12.454,13.157,12.479,13.375
NFZB,12.342,13.029,12.217,12.858
NLMH,11.649,12.651,11.752,12.905
NMCP,11.902,13.076,11.985,13.226
NRDG,10.78,11.931,10.964,12.17
NRVV,10.65,11.251,10.597,11.674
NSFR,11.414,12.736,11.677,12.94
NUDB,12.372,13.294,12.313,13.188
NVHP,11.037,12.049,11.061,12.245
OCGB,11.974,12.848,11.738,12.661
ODLJ,11.155,12.126,10.993,12.703
