row_id,ID,group,log_ear_linear,logP_c,relative_foretibia_size,.fitted,.resid,.hat,.sigma,.cooksd,.std.resid,high_cooks,high_leverage,large_residual,flagged
282,XMEN,Eighth instar,0.4415737566404504,-0.07003508106539513,-0.02410286177970708,0.47060830978527707,-0.02903455314482667,0.03046474742158182,0.036809337032817385,0.0016823667068815767,-0.8015561805288499,FALSE,FALSE,FALSE,FALSE
261,VFPH,Ninth instar,0.550471452003196,0.030771658666753465,-0.011521760860402236,0.5745389503636679,-0.02406749836047184,0.04285622795259122,0.036821302793236116,0.0016685586999493171,-0.6687179565427698,FALSE,FALSE,FALSE,FALSE
269,WDBI,Ninth instar,0.5239225858072282,-0.09920665008344809,-0.011545665386680535,0.49746552722502374,0.02645705858220443,0.03577164903810471,0.03681583616992556,0.0016583732570181933,0.7324065737585383,FALSE,FALSE,FALSE,FALSE
286,XQHC,Ninth instar,0.558553435652137,-0.09065436826813089,0.069923673375811915,0.5756868354417779,-0.017133399789640902,0.07716910274969532,0.036834294757402956,0.0016379713272222849,-0.4848228816755687,FALSE,TRUE,FALSE,TRUE
312,ZVNV,Ninth instar,0.5454580410168197,-0.032896309974027815,0.03402416127018915,0.5776919410995017,-0.03223390008268201,0.0243370843896843,0.03680048641620445,0.0016357414651076254,-0.8870816170629822,FALSE,FALSE,FALSE,FALSE
106,JXVQ,Tenth instar,0.5697171415941824,0.04997993230502096,-0.02134974818906771,0.5937270568699555,-0.02400991527577312,0.042189495322129525,0.03682145269059155,0.0016324744544394222,-0.666885773418441,FALSE,FALSE,FALSE,FALSE
84,IEAL,Female,0.6295854823953492,0.11407245625984763,0.007618968255429984,0.5850611586944039,0.04452432370094528,0.012473405061728117,0.03675777590447929,0.001561356545720909,1.2179334390390009,FALSE,FALSE,FALSE,FALSE
85,IEJY,Eighth instar,0.5265458866831502,-0.06113690578924302,0.013069867304120311,0.4990764674651455,0.027469419218004665,0.030390435373374585,0.03681346957373769,0.0015019728931117725,0.758318506568559,FALSE,FALSE,FALSE,FALSE
83,HZFK,Eighth instar,0.41808234369743513,-0.11872097538435988,0.0022918752110376982,0.46071664114673233,-0.0426342974492972,0.013003304232872784,0.0367652939348191,0.001494034230935498,-1.1665460422655405,FALSE,FALSE,FALSE,FALSE
275,WQOI,Ninth instar,0.6378210455081479,-0.006688988150796549,0.06237054316327587,0.6186800722407881,0.01914097326735975,0.057357378062501484,0.036831101535224064,0.0014562742784862426,0.5359090652883859,FALSE,FALSE,FALSE,FALSE
149,MUVY,Tenth instar,0.5699570840126077,0.023879273789943145,-0.009891216284520547,0.5947601704087642,-0.02480308639615647,0.03561571875615916,0.03681982116640386,0.0014506843280508387,-0.6865644113108295,FALSE,FALSE,FALSE,FALSE
160,NMCP,Ninth instar,0.5645707468514664,0.005125729861981121,0.024506196970029714,0.591685448750765,-0.027114701899298654,0.030120338910190107,0.03681438317521293,0.0014496188196381037,-0.748421975979936,FALSE,FALSE,FALSE,FALSE
30,DFDF,Ninth instar,0.4948635249736687,-0.05129329438755059,-9.262837141192769e-4,0.5354040273169345,-0.04054050234326578,0.013600505981476264,0.03677324610059579,0.0014146455440777717,-1.1095920297280486,FALSE,FALSE,FALSE,FALSE
50,EWKB,Ninth instar,0.43155045168001793,-0.11840823105030185,-0.05501571174983339,0.44705087856624465,-0.015500426886226715,0.08049653876661013,0.036836864928189564,0.0014085679034906249,-0.43940763405110955,FALSE,TRUE,FALSE,TRUE
