"ID","sex","morph","included"
"SBJVC","m","ninth",TRUE
"SCBI","m","tenth",TRUE
"SCXD","m","ninth",TRUE
"SDBA","m","ninth",TRUE
"SDVC","m","ninth",TRUE
"SEVZ","f","female",TRUE
"SFBL","f","female",TRUE
"SGBK","m","ninth",TRUE
"SMVB","m","eighth",TRUE
"SMXT","m","eighth",TRUE
"SNCY","f","female",TRUE
"SNDZ","m","ninth",TRUE
"SQCA","m","tenth",TRUE
"SSQG","m","tenth",TRUE
"SVLP","m","ninth",TRUE
"SXDN","f","female",TRUE
"SYKW","m","tenth",TRUE
"TABC","m","ninth",TRUE
"TART","f","female",TRUE
"TKBC","m","ninth",TRUE
"TKSH","m","ninth",TRUE
"TRCQ","f","female",TRUE
"TSNP","m","tenth",TRUE
"TSPY","f","female",TRUE
"TWQN","m","eighth",FALSE
"TYRB","m","eighth",TRUE
"UCYK","f","female",TRUE
"UHRS","m","ninth",TRUE
"UKOQ","m","tenth",TRUE
"ULBD","m","ninth",TRUE
"UMXA","f","female",TRUE
"UNBX","m","eighth",TRUE
"UPBJ","f","female",TRUE
"UQVJ","m","ninth",TRUE
"UWVR","f","female",TRUE
"UYSP","m","tenth",TRUE
"VDBS","f","female",TRUE
"VDVI","m","tenth",TRUE
"VECM","m","ninth",TRUE
"VFCQ","m","eighth",TRUE
"VFPH","m","ninth",TRUE
"VGLK","m","ninth",TRUE
"VHBT","m","tenth",TRUE
"VJOC","f","female",TRUE
"VJTT","f","female",TRUE
"VNSP","m","eighth",TRUE
"VNVH","f","female",TRUE
"VUNA","f","female",TRUE
"WDBI","m","ninth",TRUE
"WHQS","f","female",TRUE
"WHVM","m","tenth",TRUE
"WJST","f","female",TRUE
"WKXK","m","ninth",TRUE
"WNVZ","m","ninth",TRUE
"WQOI","m","ninth",TRUE
"WQRK","m","ninth",TRUE
"WSXA","m","eighth",TRUE
"WWFJ","m","eighth",TRUE
"WYMS","m","eighth",TRUE
"XDBU","f","female",TRUE
"XKES","f","female",TRUE
"XMEN","m","eighth",TRUE
"XNIH","f","female",TRUE
"XOAF","m","ninth",TRUE
"XQBJ","m","tenth",TRUE
"XQHC","m","ninth",TRUE
"XRPL","m","eighth",TRUE
"XVQB","m","ninth",TRUE
"XWCJ","m","eighth",TRUE
"YAKT","m","eighth",TRUE
"YBYC","m","ninth",TRUE
"YCTD","m","eighth",TRUE
"YFAT","f","female",TRUE
"YGFO","m","eighth",TRUE
"YMRF","m","eighth",TRUE
"YNBA","m","ninth",TRUE
"YNFN","f","female",TRUE
"YNZS","f","female",TRUE
"YRUA","f","female",TRUE
"YRUH","f","female",TRUE
"YSQQ","m","eighth",TRUE
"YUWR","m","eighth",TRUE
"YYNS","f","female",TRUE
"YZUH","m","eighth",TRUE
"ZAQJ","m","eighth",TRUE
"ZAVH","m","eighth",TRUE
"ZFKD","m","eighth",TRUE
"ZFXN","m","ninth",TRUE
"ZIER","m","tenth",TRUE
"ZRDE","m","ninth",TRUE
"ZSUF","m","eighth",TRUE
"ZVNV","m","ninth",TRUE
"ZWYP","f","female",TRUE
