"variable","mean","median","sd","mad","q5","q95","rhat","ess_bulk","ess_tail"
"b_hind_groupeighth",-0.075917915065375,-0.075987531,0.00999955758818724,0.00982545484410001,-0.09227689605,-0.059586958,1.00209589652315,3636.79116570812,4609.35568925307
"b_hind_groupninth",-0.0164388977710088,-0.016489401,0.00534605795293822,0.0053687881548,-0.0253141654,-0.00757665391,1.0008676655202,4465.70301377749,5839.43431102172
"b_hind_grouptenth",0.0269076923326187,0.026860199,0.00864005173346153,0.0087415067103,0.0127803684,0.0413848684,0.999868368595549,4016.79821694696,5642.72745670587
"b_hind_groupfemale:logP",0.80801306595625,0.80874516,0.0631504600690961,0.062018729556,0.702874843,0.9118231055,1.00117052141572,3940.57533576365,5207.87695528738
"b_hind_groupeighth:logP",0.6555752436825,0.65700133,0.0731369746751741,0.0720388149389999,0.534889462,0.775057712,1.00238223459317,3613.37312749264,4761.67537422976
"b_hind_groupninth:logP",0.56489392233125,0.564364705,0.0887144389513488,0.087614936409,0.4197686645,0.712902562,1.00078531803268,4336.86430266436,4658.47024494386
"b_hind_grouptenth:logP",0.26784905580622,0.268679345,0.146975824574013,0.146031296376,0.01773243525,0.510530677,1.00008506983352,4172.8891387427,5088.94227393812
"b_earlin_groupfemale",-0.039306358587125,-0.0392674455,0.00770390156194245,0.007657569696,-0.0519977155,-0.0266660838,1.00076748667406,5210.50850215977,6033.05749855459
"b_earlin_groupeighth",-0.0350199917906679,-0.034975411,0.0128808322774397,0.0130020943605,-0.0560706645,-0.01402238155,1.00141708105207,4822.18192861358,5580.87040803695
"b_earlin_groupninth",0.00677855615013747,0.0068347487,0.00677343416155622,0.00660246895518,-0.00446819327,0.01791051485,1.00045298347985,6487.44246095025,6510.63740716999
"b_earlin_grouptenth",0.036006994274305,0.0359598915,0.0109899722162013,0.0108779607384,0.0180390473,0.054142352,1.00009617918405,5569.11408287074,5991.37514712759
"b_earlin_groupfemale:logP",0.5134504274,0.513560245,0.0803534157072919,0.0788006644320001,0.3810395275,0.64459203,1.00128289123765,5205.85649867235,6025.31825233834
"b_earlin_groupeighth:logP",0.5518233774425,0.553144735,0.0942311288622689,0.0968443215599999,0.395952409,0.706204714,1.00163725233306,4895.79671043598,5932.06134268224
"b_earlin_groupninth:logP",0.5875102974875,0.58789098,0.112439775127934,0.109460743476,0.4044581835,0.770889759,1.00089356241905,5511.38873029968,6139.18714554391
"b_earlin_grouptenth:logP",0.408457450502512,0.40844059,0.185899748880748,0.185836860237,0.1023329135,0.7116586695,0.999996633484578,5713.26768551054,5692.01769732181
"b_eye_groupfemale",-0.1984491820225,-0.198469055,0.00924371629838709,0.00912966547500001,-0.2140486615,-0.183282725,1.00007549919942,6592.87156346189,5762.31869618308
"b_eye_groupeighth",-0.10131437686425,-0.10136755,0.0151238161516366,0.0149595036822,-0.126023664,-0.0766063528,1.00030139741153,5656.30318328714,5339.33419403244
"b_eye_groupninth",-0.04499291810575,-0.0450769185,0.00804798255902329,0.0081126129945,-0.0579228887,-0.0315608556,1.00007481952474,7444.23987048026,6511.97861255244
"b_eye_grouptenth",0.0408105640693837,0.040858901,0.013163060877109,0.0131976982263,0.01910875785,0.0624692767,1.00089118827336,6254.22213751492,6232.13681030396
"b_eye_groupfemale:logP",0.72937443753125,0.72948476,0.0967606830775254,0.0972860696429999,0.5701190905,0.886266599,1.0003724348595,6619.08603448646,5717.47871292699
"b_eye_groupeighth:logP",0.66165123009375,0.661448985,0.110790579913034,0.109566119271,0.4812305865,0.8427031805,1.00034269244903,5573.6263689929,5456.72387435386
"b_eye_groupninth:logP",0.574512920305,0.57490867,0.131049382955992,0.131881169238,0.3584948535,0.7894228135,1.00035703841363,6958.72485316835,5827.4972429994
"b_eye_grouptenth:logP",0.434744553232389,0.43570787,0.220215903299222,0.22115810766,0.07654782695,0.8046815885,0.999997160360477,6930.23824169485,6158.42041316593
"sigma_fore",0.033518055156625,0.0334852685,0.00132704517107474,0.0013171574073,0.0313747632,0.03575957355,1.00013171633547,5360.34695134322,6281.76528693476
"sigma_mid",0.033340300334625,0.0332932775,0.00134011576488891,0.001334080545,0.03121553565,0.03565089145,1.00057410210219,5413.37352930308,5621.50383413751
"sigma_hind",0.03616671172275,0.0361180425,0.00147623135035024,0.0014692966302,0.0338195871,0.03866912175,1.00076058849909,6973.01612308589,6047.04392192937
"sigma_earlin",0.046041591540375,0.045981015,0.00187683862239094,0.0018596407473,0.04310116145,0.04926009315,1.00026386864604,9675.53910011226,6510.35858621822
"sigma_eye",0.054847666957375,0.054775681,0.00218719154257065,0.0021696138597,0.05136154885,0.05862182955,1.00055263486431,12990.9003765613,6436.11759573122
