"source","quantity","bayesian_median","bayesian_lower_95","bayesian_upper_95","frequentist_estimate","frequentist_lower_95","frequentist_upper_95","posterior_probability_positive","frequentist_p"
"instar_prior2_instar_sex.csv","earlin: instar_minus_sex",-0.0413670105,-0.057413766475,-0.025577748325,-0.0414355664582399,-0.0574859434326935,-0.0253851894837863,0,6.5690914342951e-07
"instar_prior2_instar_sex.csv","eye: per_male_instar",0.065628361,0.051115246175,0.07978031295,0.0655487630829859,0.0511529269867353,0.0799445991792364,1,3.23001163479354e-17
"instar_prior2_instar_sex.csv","eye: matched_sex",0.21993423,0.20171005725,0.23792890075,0.220194597256426,0.202066031741314,0.238323162771538,1,4.8114434855983e-72
"instar_prior2_instar_sex.csv","eye: instar_minus_sex",-0.15435716,-0.17337113355,-0.134864799025,-0.15464583417344,-0.173726187869838,-0.135565480477043,0,3.9506524526386e-42
"integration_prior1_head_slope_differences.csv","fore: tenth_minus_eighth",-0.2332656,-0.5270514063,0.0639575902499998,-0.219457767956772,-0.525143374307151,0.0862278383936069,0.062,0.15874996312844
"integration_prior1_head_slope_differences.csv","fore: tenth_minus_ninth",-0.10281688,-0.3956035697,0.18824436625,-0.0886192657960967,-0.392231731391867,0.214993199799673,0.245375,0.566125738646054
"integration_prior1_head_slope_differences.csv","mid: tenth_minus_eighth",-0.108441085,-0.39152064475,0.17218741675,-0.0953918373976738,-0.390456613951807,0.19967293915646,0.22325,0.525123464985123
"integration_prior1_head_slope_differences.csv","mid: tenth_minus_ninth",-0.00611584999999998,-0.2939374634,0.270982757,0.00647087796998219,-0.286592787636118,0.299534543576082,0.48375,0.965370147499506
"integration_prior1_head_slope_differences.csv","hind: tenth_minus_eighth",0.17127675,-0.14109812925,0.49078665325,0.190903351682379,-0.128366615291124,0.510173318655881,0.858375,0.240251933180861
"integration_prior1_head_slope_differences.csv","hind: tenth_minus_ninth",0.152809625,-0.1693510495,0.45760332975,0.168344045206626,-0.148760652724092,0.485448743137344,0.826875,0.296991001778332
"integration_prior1_head_slope_differences.csv","earlin: tenth_minus_eighth",0.112839525,-0.33803050195,0.57049613825,0.129483970956592,-0.355695070624646,0.61466301253783,0.6875,0.599834369329631
"integration_prior1_head_slope_differences.csv","earlin: tenth_minus_ninth",0.141600959,-0.32198766675,0.614515369375,0.160273147557987,-0.321615439963628,0.642161735079602,0.73,0.513279237872104
"integration_prior1_head_slope_differences.csv","eye: tenth_minus_eighth",0.214574965,-0.28058809825,0.708986116749999,0.263126849779043,-0.239943633546416,0.766197333104502,0.8035,0.304166262702842
"integration_prior1_head_slope_differences.csv","eye: tenth_minus_ninth",0.331479135,-0.15385039725,0.8201667885,0.381467860404643,-0.118190830216951,0.881126551026236,0.913625,0.134041616110532
"integration_prior1_head_trait_slopes.csv","fore: female",0.414735775,0.278869605,0.545039239,0.419393840622729,0.281282569709393,0.557505111536065,1,6.50076028104107e-09
"integration_prior1_head_trait_slopes.csv","fore: eighth",0.453196985,0.3416867745,0.562544776,0.453720090499833,0.340842439734544,0.566597741265121,1,5.02052204400384e-14
"integration_prior1_head_trait_slopes.csv","fore: ninth",0.321132085,0.21690698,0.42758340275,0.322881588339157,0.215745210868038,0.430017965810277,1,8.3153394339225e-09
"integration_prior1_head_trait_slopes.csv","fore: tenth",0.220468175,-0.052453736375,0.487646221,0.23426232254306,-0.0498192254101789,0.5183438704963,0.942375,0.105682818146504
"integration_prior1_head_trait_slopes.csv","mid: female",0.41655813,0.28703986475,0.5466144635,0.42158156291765,0.288268870252164,0.554894255583136,1,1.64180301875071e-09
"integration_prior1_head_trait_slopes.csv","mid: eighth",0.461474095,0.353441572,0.5666062185,0.462417090325967,0.353461293556003,0.571372887095932,1,2.5383693075507e-15
"integration_prior1_head_trait_slopes.csv","mid: ninth",0.35872638,0.25600583525,0.4599068175,0.360554374958311,0.257140375009943,0.46396837490668,1,3.93418491878288e-11
"integration_prior1_head_trait_slopes.csv","mid: tenth",0.35264327,0.085597483675,0.610581146,0.367025252928294,0.0928139170700492,0.641236588786538,0.995,0.00887711706056572
"integration_prior1_head_trait_slopes.csv","hind: female",0.62573571,0.48498558575,0.76997732725,0.632757888635759,0.488509091874856,0.777006685396662,1,3.6321405015107e-16
"integration_prior1_head_trait_slopes.csv","hind: eighth",0.342110175,0.224624442,0.45671821275,0.342489619958491,0.224595800023206,0.460383439893777,1,2.62534319766009e-08
"integration_prior1_head_trait_slopes.csv","hind: ninth",0.36284563,0.25404730625,0.47416594625,0.365048926434244,0.25315151619878,0.476946336669708,1,5.33833928518066e-10
"integration_prior1_head_trait_slopes.csv","hind: tenth",0.515453995,0.21870956625,0.809046437,0.53339297164087,0.236687125671621,0.830098817610119,0.9995,0.000467607041452867
"integration_prior1_head_trait_slopes.csv","earlin: female",0.3873914,0.1762521165,0.6006030315,0.396568364687347,0.177360483579287,0.615776245795407,0.99975,0.000430970714390347
"integration_prior1_head_trait_slopes.csv","earlin: eighth",0.16181256,-0.016346120675,0.3395254575,0.161130724316905,-0.0180267802450577,0.340288228878868,0.96375,0.0777600496106134
