ID,year,sex,Category,testes,head length,1st left femur,1st right femur,1.femur,1st left tibia,1st right tibia,1.tibia,1st left tarsus,1st right tarsus,1.tarsus,left ear,right ear,ear,2nd left femur,2nd right femur,2.femur,2nd left tibia,2nd right tibia,2.tibia,2nd left tarsus,2nd right tarsus,2.tarsus,3rd left femur,3rd right femur,3.femur,3rd left tibia,3rd right tibia,3.tibia,3rd left tarsus,3rd right tarsus,3.tarsus,pronotum,head width,left eye,right eye,best eye clarity
B91,2006,Male,ten,0.03368,29.89,13.44,13.41,13.425,15.37,14.96,15.165,4.35,4.32,4.335,4.08,4.03,4.055,12.85,13.01,12.93,14.8,15.07,14.935,4,4.23,4.115,21.85,21.85,21.85,23.07,22.78,22.925,4.66,4.4,4.53,8.16,14.73,4.75,4.52,neither
B92,2006,Male,eight,0.035,14.26,8.64,9.56,9.1,11.29,11.62,11.455,3.22,3.33,3.275,2.83,2.79,2.81,7.01,9.32,8.165,8.07,10.77,9.42,2.71,3.08,2.895,15.03,15.35,15.19,16.74,16.31,16.525,no tarsus,3.21,3.21,5.74,7.57,2.27,1.83,left
B93,2006,Male,nine,0.01712,19.83,11.7,11.18,11.44,12.84,13.03,12.935,3.63,3.7,3.665,3.31,3.52,3.415,10.74,11.22,10.98,12.04,12.74,12.39,2.54,3.39,2.965,18.49,17.76,18.125,19.85,20.19,20.02,3.7,3.61,3.655,6.35,10.48,3.2,2.7,left
B94,2006,Male,nine,0.01576,21.83,11.5,11.75,11.625,12.57,13.29,12.93,3.82,3.94,3.88,3.13,3.14,3.135,10.57,11.31,10.94,12.45,12.67,12.56,3.63,3.72,3.675,18.49,18.48,18.485,20.72,20.9,20.81,3.99,3.86,3.925,6.41,10.89,3.55,2.9,left
B95,2006,Male,ten,0.01352,31.85,13.83,13.92,13.875,15.64,15.98,15.81,4.34,4.46,4.4,4.67,4.41,4.54,13.7,13.7,13.7,14.89,14.75,14.82,4.4,4.29,4.345,20.53,21.3,20.915,23.01,23.26,23.135,4.11,2.86,3.485,7.57,14.71,5.33,3.51,neither
B96,2006,Male,ten,0.01102,26.19,12.38,12.32,12.35,,14.62,14.62,,4.27,4.27,3.77,3.63,3.7,11.94,11.93,11.935,13.05,13.38,13.215,4.21,3.84,4.025,19.25,20.05,19.65,20.48,20.33,20.405,3.74,3.74,3.74,7.1,12.73,2.82,3.29,right
B98,2006,Male,eight,0.01269,17.85,10.94,10.86,10.9,12.98,12.71,12.845,3.5,3.4,3.45,2.94,3.07,3.005,10.54,10.76,10.65,12.12,11.86,11.99,3.09,3.4,3.245,16.82,17.43,17.125,18.22,18.16,18.19,3.21,3.28,3.245,6.33,9.14,2.82,2.67,both
B99,2006,Male,nine,0.01167,19.41,12.45,12.11,12.28,15.08,14.72,14.9,4.22,,4.22,3.6,3.71,3.655,11.96,11.86,11.91,13.63,13.64,13.635,4.05,3.89,3.97,18.8,19.01,18.905,20.54,19.93,20.235,3.87,no tarsus,3.87,6.91,9.94,3.12,3.52,both
Found #1,2006,Male,ten,0.01253,27.59,12.93,13.19,13.06,15.14,14.97,15.055,4.25,4.38,4.315,4.36,4.31,4.335,12.29,12.14,12.215,14.45,14.37,14.41,4.26,4.22,4.24,20.82,20.83,20.825,21.8,22.02,21.91,4.12,4.48,4.3,,13.97,3.83,3.59,neither
Y01,2006,Male,ten,0.00566,26.82,12.82,12.95,12.885,15.03,14.91,14.97,4.33,4.47,4.4,3.7,3.69,3.695,12.78,12.65,12.715,14.53,14.48,14.505,3.89,4.29,4.09,20.46,20.54,20.5,21.99,22.34,22.165,3.74,4.61,4.175,7.77,13.42,5.28,3.84,right
Y03,2006,Male,nine,0.01226,19.57,10.97,10.65,10.81,12.63,12.42,12.525,3.63,3.74,3.685,2.58,2.78,2.68,10.25,10.26,10.255,12.12,11.97,12.045,3.51,3.47,3.49,17.58,17.2,17.39,18.41,18.39,18.4,3.48,no tarsus,3.48,6.2,9.97,3.75,2.95,both
Y04,2006,Male,nine,0.0193,20.65,11.74,12.01,11.875,14.01,13.87,13.94,,3.96,3.96,3.81,3.77,3.79,11.66,11.31,11.485,12.99,12.98,12.985,4,3.98,3.99,19.89,19.65,19.77,20.32,20.08,20.2,4.1,3.95,4.025,6.91,10.87,3.87,3.07,both
Y06,2006,Male,ten,0.029,29.99,13.76,13.69,13.725,15.47,15.45,15.46,4.45,4.36,4.405,4.66,4.49,4.575,12.76,12.72,12.74,14.76,14.73,14.745,4.28,4.21,4.245,21.64,20.78,21.21,23.62,23.39,23.505,4.44,4.27,4.355,7.51,14.2,6.41,4.96,both
Y07,2006,Male,eight,0.01008,18.75,11.08,10.47,10.775,13.36,12.43,12.895,3.51,3.38,3.445,3.25,2.94,3.095,10.54,10.44,10.49,12,11.89,11.945,3.55,3.56,3.555,17.31,18.02,17.665,18.26,18.58,18.42,no tarsus,3.64,3.64,6.34,9.49,3.28,2.54,both
Y08,2006,Male,eight,0.03019,18.75,11.22,11.21,11.215,12.32,12.61,12.465,3.15,3.64,3.395,2.64,2.79,2.715,10.84,10.73,10.785,11.94,11.89,11.915,3.61,3.46,3.535,18,17.63,17.815,16.65,17.7,17.175,no tarsus,no tarsus,3.495,6.71,9.7,3.42,2.8,both
Y10,2006,Male,eight,0.00926,13.62,9.49,9.82,9.655,11.67,11.46,11.565,2.96,3.08,3.02,2.41,2.47,2.44,9.41,9.99,9.7,10.81,11.19,11,no tarsus,3.32,3.32,15.52,15.47,15.495,16.15,16.59,16.37,3.23,3.24,3.235,5.85,7.52,1.82,2.01,neither
Y11,2006,Male,ten,0.01276,24.38,11.94,12.03,11.985,13.92,13.75,13.835,4.11,3.96,4.035,2.64,4.29,3.465,11.56,11.71,11.635,13.4,13.19,13.295,3.91,3.98,3.945,19.89,20.33,20.11,20.5,20.16,20.33,4.08,2.93,3.505,7.3,11.79,4.72,3.79,left
Y12,2006,Male,ten,0.01333,26.38,12.78,12.89,12.835,14.39,13.87,14.13,4.16,no tarsus,4.16,3.64,3.35,3.495,12.14,11.99,12.065,13.81,13.94,13.875,4.09,4.04,4.065,19.66,20.12,19.89,20.65,20.49,20.57,3.78,4.2,3.99,7.54,12.97,5.56,4.07,left
Y13,2006,Male,eight,0.01564,15.55,9.9,9.65,9.775,11.89,11.77,11.83,3.34,3.31,3.325,2.45,2.67,2.56,9.73,9.63,9.68,11.01,11.24,11.125,3.33,3.29,3.31,16.74,16.37,16.555,16.45,17.69,17.07,3.07,3.27,3.17,5.6,8.18,2.48,2.2,both
Y14,2006,Male,eight,0.01349,15.2,9.81,9.78,9.795,11.26,11.6,11.43,3.36,no tarsus,3.36,2.92,2.49,2.705,9.69,9.77,9.73,10.56,10.89,10.725,no tarsus,3.34,3.34,16.04,15.68,15.86,16.72,18.18,17.45,no tarsus,no tarsus,3.05,6.08,8.2,2.26,2.17,right
Y15,2006,Male,nine,0.03127,21.57,11.71,12.03,11.87,13.75,13.45,13.6,3.83,3.92,3.875,3.53,3.76,3.645,12.02,11.9,11.96,13.2,13.39,13.295,3.83,4.04,3.935,19.68,21.05,20.365,20.97,22.18,21.575,3.86,4.23,4.045,6.61,11.41,4.05,2.87,left
Y16,2006,Male,nine,0.01532,19.18,12.28,11.33,11.805,13.7,12.66,13.18,no tarsus,3.04,3.04,2.81,2.6,2.705,no picture,11.34,11.34,no picture,12.78,12.78,no picture,3.62,3.62,19.02,18.69,18.855,19.08,18.95,19.015,3.15,3.54,3.345,6.99,9.88,4.07,3.66,both
