ID,sex,morph,pronotum,head_length,head_width,forefemur,foretibia,midfemur,midtibia,hindfemur,hindtibia,ear,eye,group,foreleg,midleg,hindleg,head_size,ear_linear,logP_c,log_head_size,log_foreleg,log_midleg,log_hindleg,log_foretibia,log_ear_linear,log_eye,current_label,legacy_2010_label,differs_from_2010,distance_to_inferred_cutpoint,within_0_25_mm,within_0_50_mm
DSPJ,m,eighth,6.187,16.443,8.969,11.523,12.122,10.8375,11.791,17.0205,17.2025,2.831,2.4290000000000003,Eighth instar,23.645,22.628500000000003,34.223,12.144021862628543,1.6825575770237404,-0.15163070947315793,2.496837020933978,3.163151676095839,3.119210173754374,3.5328979326518217,2.495021983529093,0.5203150030648813,0.8874796500200356,Eighth instar,Eighth instar,FALSE,2.0569999999999986,FALSE,FALSE
DUFU,m,ninth,7.234,22.16,11.341,12.699,13.405,11.6855,13.0835,18.2705,19.706,3.085,3.035,Ninth instar,26.104,24.769,37.9765,15.852966914745013,1.7564168070250297,0.004711107507896495,2.763356669856138,3.2620885592910196,3.2095928712692836,3.6369675473725813,2.5956277716879224,0.5632758286786756,1.1102114245114616,Ninth instar,Ninth instar,FALSE,1.9899999999999984,FALSE,FALSE
DYFV,m,tenth,7.603,25.875,12.758,13.829,15.121,12.837,14.6595,20.625,22.425,4.066,3.3535,Tenth instar,28.950000000000003,27.496499999999997,43.05,18.169018960857517,2.0164324932910596,0.054461880224289994,2.8997178887026482,3.3655702040190043,3.314058723845392,3.7623622308737397,2.716084506130532,0.7013298576030773,1.2100045765576548,Tenth instar,Tenth instar,FALSE,1.7250000000000014,FALSE,FALSE
EAXA,m,ninth,6.94,23.399,11.795,13.4245,13.7815,12.4475,13.358,18.822000000000003,20.8015,3.1745,3.0839999999999996,Ninth instar,27.206,25.805500000000002,39.62350000000001,16.61298302533293,1.7817126592130395,-0.03677925150329653,2.8101844996336958,3.3034375372112383,3.2505876475028814,3.6794223765913405,2.62332711307215,0.5775750698141838,1.126227455701083,Ninth instar,Ninth instar,FALSE,0.7509999999999977,FALSE,FALSE
EAXN,m,eighth,6.406,16.246,8.682,11.241,11.834499999999998,10.658,11.9685,16.6295,17.381999999999998,2.5625,2.398,Eighth instar,23.075499999999998,22.6265,34.0115,11.876353480761676,1.6007810593582121,-0.11684597483504322,2.474549320753082,3.1387714486265303,3.1191217857308935,3.526698702721617,2.4710189945027285,0.47049167223226324,0.8746350566053226,Eighth instar,Eighth instar,FALSE,2.2540000000000013,FALSE,FALSE
ECHF,m,ninth,7.1,20.794,10.833,13.0075,13.3945,11.734,13.008500000000002,18.462,19.7935,3.205,2.9155,Ninth instar,26.402,24.7425,38.2555,15.00871087069106,1.7902513789968157,-0.013986241974739855,2.7086307572596042,3.273439764858568,3.2085224127887093,3.6442873407853047,2.5948441749389333,0.5823560451863168,1.0700413316800736,Ninth instar,Ninth instar,FALSE,2.2940000000000005,FALSE,FALSE
ECJN,m,tenth,7.26,24.824,12.285,13.27,13.561,12.263,13.2395,19.6975,20.965,3.3145,3.1125,Tenth instar,26.831,25.502499999999998,40.6625,17.46318527646088,1.8205768316662716,0.008298802814695083,2.8600949665596107,3.289557935453731,3.2387764865745368,3.7053062917994697,2.607198026105808,0.5991533913496546,1.135426261790826,Tenth instar,Tenth instar,FALSE,0.674000000000003,FALSE,FALSE
ECOO,m,ninth,6.688,22.248,11.687,12.7035,13.524,11.57,13.66,18.4245,20.6055,2.8994999999999997,3.0345,Ninth instar,26.2275,25.23,39.03,16.12489925549924,1.7027918252094116,-0.0737661502396092,2.780364614941342,3.2668084786235037,3.2280337626529665,3.6643305811925235,2.6044658848456397,0.532269154167179,1.1100466662937727,Ninth instar,Ninth instar,FALSE,1.9019999999999975,FALSE,FALSE
EDIK,m,eighth,6.288,16.078,8.695,11.1845,11.684,10.407,11.844,15.8895,18.29,2.5695,2.506,Eighth instar,22.868499999999997,22.250999999999998,34.1795,11.8236293074504,1.6029660008871056,-0.13543797089510412,2.4701000128560078,3.1297604177770055,3.1023869514225306,3.531626049142765,2.4582203845254944,0.47185566372507365,0.9186878564738765,Eighth instar,Eighth instar,FALSE,2.4220000000000006,FALSE,FALSE
EFLR,m,ninth,6.666,20.882,10.93,12.113,13.035,11.526,12.727,17.642,19.3405,2.932,2.974,Ninth instar,25.148,24.253,36.9825,15.107622579347156,1.7123083834403194,-0.07706104613646159,2.715199423028183,3.2247783705208146,3.1885403210720815,3.610444827784254,2.567638047385465,0.5378423920122025,1.0899078480379634,Ninth instar,Ninth instar,FALSE,2.3820000000000014,FALSE,FALSE
EJSA,m,ninth,6.864,20.491,10.505,12.2135,12.9985,11.3915,12.221,18.4905,19.589,3.122,2.708,Ninth instar,25.212,23.6125,38.079499999999996,14.67167185429118,1.7669182210843828,-0.04779066383634856,2.68591854982583,3.2273200716508637,3.161776232827628,3.639676079584861,2.5648339661888353,0.5692369110466201,0.9962103550500286,Ninth instar,Ninth instar,FALSE,1.9909999999999997,FALSE,FALSE
EMMR,m,tenth,7.644,24.245,12.084,14.203,15.097,12.8045,14.3555,20.174,21.9955,3.5374999999999996,2.995,Tenth instar,29.299999999999997,27.16,42.1695,17.1165586494482,1.8808242873804026,0.05984000035601711,2.840046337040871,3.3775875160230213,3.3017453026904953,3.7416972109179607,2.714496048585599,0.6317101314846779,1.0969442315674127,Tenth instar,Tenth instar,FALSE,0.09500000000000242,TRUE,TRUE
EWKB,m,ninth,6.396,18.923,10.094,11.4345,11.93,10.519,11.265,17.259999999999998,17.958,2.3705,2.615,Ninth instar,23.3645,21.784,35.217999999999996,13.820591955484394,1.5396428157205813,-0.11840823105030185,2.626159650669992,3.1512177763942057,3.0811757553714583,3.561557315538586,2.4790562361098245,0.43155045168001793,0.9612640975168864,Ninth instar,Eighth instar,TRUE,0.42299999999999827,FALSE,TRUE
EXFC,m,eighth,5.954,13.333,7.562,10.0475,10.8205,9.568,10.663,14.934,16.3155,2.274,2.2184999999999997,Eighth instar,20.868,20.231,31.249499999999998,10.041122745988119,1.5079787796915447,-0.19001776342842502,2.306688935301031,3.0382168851601463,3.007216081495277,3.442003376054409,2.38144248307154,0.4107701976641722,0.796831291836827,Eighth instar,Eighth instar,FALSE,5.167,FALSE,FALSE
FJIV,m,ninth,6.812,18.828,10.451,12.422,12.9315,11.738,12.5645,18.155,19.7375,2.733,2.5854999999999997,Ninth instar,25.3535,24.302500000000002,37.8925,14.02752394401806,1.6531787562148264,-0.055395263221567737,2.641021395575631,3.2329167875679565,3.190579225713087,3.6347532033236747,2.5596661953359523,0.5026999534729655,0.949918912854139,Ninth instar,Eighth instar,TRUE,0.3279999999999994,FALSE,TRUE
FKWM,m,eighth,6.233,15.281,8.863,11.676,12.3645,10.802,11.7315,16.44,18.037999999999997,3.0090000000000003,2.563,Eighth instar,24.0405,22.5335,34.477999999999994,11.637676013706518,1.734646938140439,-0.14422326819529618,2.4542477671896905,3.1797399081196027,3.1150030908031594,3.5403214394727867,2.5148294634392547,0.5508038988239541,0.9411784473819341,Eighth instar,Eighth instar,FALSE,3.2189999999999994,FALSE,FALSE
FXZS,m,ninth,7.374,23.797,11.911,13.1725,13.6975,12.147,13.8415,19.484,20.581,3.0229999999999997,2.911,Ninth instar,26.869999999999997,25.988500000000002,40.065,16.835856586464498,1.7386776584519628,0.023879273789943145,2.8235109326055015,3.2910104226273997,3.2576541324822736,3.690503135230034,2.6172133344304336,0.5531248578986605,1.0684966647634861,Ninth instar,Ninth instar,FALSE,0.352999999999998,FALSE,TRUE
GDWH,m,tenth,7.377,24.154,11.71,13.6745,14.156,12.286,13.5095,19.4105,20.3145,3.494,3.1975,Tenth instar,27.8305,25.795499999999997,39.724999999999994,16.81794696150514,1.8692244381026053,0.024286025880155604,2.8224465877314047,3.326132541599909,3.250200058110227,3.6819807124227797,2.650138562483217,0.6255236058559325,1.1623692544708606,Tenth instar,Ninth instar,TRUE,0.004000000000001336,TRUE,TRUE
GMLX,m,eighth,6.801,17.369,9.272,11.8105,12.3815,10.7,12.0725,16.842,18.4045,2.787,2.7595,Eighth instar,24.192,22.7725,35.2465,12.690365164170808,1.6694310408040218,-0.057011365828508076,2.540843057054663,3.1860219999971227,3.125553667636828,3.56236623354848,2.516203423083184,0.5124828742499055,1.015049503897419,Eighth instar,Eighth instar,FALSE,1.1310000000000002,FALSE,FALSE
GRAC,m,ninth,6.279,18.594,9.852,12.0255,12.893,10.808,12.2975,17.000999999999998,18.7955,2.8285,2.7190000000000003,Ninth instar,24.9185,23.1055,35.796499999999995,13.534699405601884,1.6818144963104582,-0.13687029389003724,2.605256714145979,3.215610499491232,3.14007068442567,3.5778501232641813,2.5566845284287005,0.5198732679005367,1.0002641656503337,Ninth instar,Eighth instar,TRUE,0.0940000000000012,TRUE,TRUE
GVKA,m,eighth,5.872,13.478,7.521,10.1655,11.026,9.719,10.623,15.133,16.374000000000002,2.1735,2.3495,Eighth instar,21.191499999999998,20.342,31.507,10.068169545652278,1.4742794850366738,-0.2038857347097951,2.3093789171841457,3.0536001578824457,3.0126877142034045,3.450209743366109,2.4002561201674917,0.3881693857233549,0.8542025395607333,Eighth instar,Eighth instar,FALSE,5.022,FALSE,FALSE
GWYL,m,eighth,5.92,16.774,8.731,10.914,11.6735,10.323,11.751,16.380499999999998,18.251,2.3685,2.7264999999999997,Eighth instar,22.5875,22.073999999999998,34.6315,12.101809534115137,1.5389931773727914,-0.19574457712609528,2.4933549896954452,3.117396655918347,3.094400445350692,3.54476367252102,2.4573213156433553,0.43112842169083476,1.003018735383979,Eighth instar,Eighth instar,FALSE,1.725999999999999,FALSE,FALSE
GXQD,m,ninth,6.927,18.852,9.86,12.7465,13.398,11.3985,12.549,18.4855,19.9245,2.9295,2.553,Ninth instar,26.1445,23.947499999999998,38.41,13.63380797869766,1.7115782190715094,-0.03865420698154165,2.6125525888380143,3.2636388433417163,3.1758639342749095,3.6483178423578133,2.595105442086076,0.5374158800013531,0.9372691382593468,Ninth instar,Eighth instar,TRUE,0.3520000000000003,FALSE,TRUE
HDAF,m,tenth,7.531,26.841,13.06,14.228,14.2835,13.025,13.937,20.3855,22.454500000000003,3.2815,3.261,Tenth instar,28.511499999999998,26.962,42.84,18.72280587946155,1.8114910985152535,0.04494680909720494,2.9297423465409267,3.350307514658763,3.2944284672688724,3.757472245579548,2.6591050249190364,0.5941503174658201,1.1820338968071822,Tenth instar,Tenth instar,FALSE,2.6910000000000025,FALSE,FALSE
HDZC,m,tenth,7.016,26.317,12.597,14.1885,14.2935,12.6905,13.972,19.216,21.682,3.452,3.3075,Tenth instar,28.482,26.6625,40.897999999999996,18.207560215470934,1.8579558659989748,-0.025887770952127687,2.9018369042839747,3.349272308797236,3.283258083797469,3.7110811620976225,2.6598048884742154,0.6194768866105907,1.1961926170069737,Tenth instar,Tenth instar,FALSE,2.1670000000000016,FALSE,FALSE
HEDP,m,eighth,6.63,17.281,9.623,11.7425,12.136,10.809,12.348,17.186,18.021,2.372,2.668,Eighth instar,23.8785,23.157,35.207,12.895544308015849,1.5401298646542765,-0.08247622182423853,2.556881849223059,3.172978472481163,3.1422971106358264,3.561244926469663,2.4961762420462312,0.4318667405677395,0.9813291280533774,Eighth instar,Eighth instar,FALSE,1.2190000000000012,FALSE,FALSE
HIHW,m,eighth,6.642,17.722,9.652,11.618,11.822,10.412,11.255,17.735999999999997,17.418,2.2345,2.8165,Eighth instar,23.439999999999998,21.667,35.153999999999996,13.078713392379235,1.494824404403407,-0.08066790306745486,2.570985976693948,3.1544439647088116,3.07579036572457,3.5597384097907065,2.469962202402178,0.4020087446956846,1.0354949793526316,Eighth instar,Eighth instar,FALSE,0.7779999999999987,FALSE,FALSE
HKWK,m,eighth,5.941,13.855,7.876,10.115,11.2885,9.4915,10.7415,14.873,16.634,2.166,2.2825,Eighth instar,21.4035,20.233,31.506999999999998,10.446146657978721,1.4717336715588183,-0.19220355664840527,2.3462331695459104,3.0635544600566025,3.0073149347970576,3.4502097433661087,2.42378450839589,0.38644107428939933,0.8252713334869866,Eighth instar,Eighth instar,FALSE,4.645,FALSE,FALSE
HNUV,m,eighth,6.209,14.297,7.959,10.4925,11.482,9.7135,10.987,15.4,16.8415,2.4635,2.3935,Eighth instar,21.9745,20.700499999999998,32.2415,10.667231271515584,1.569554076800159,-0.148081173639254,2.36717654443537,3.089882690183829,3.030157854568978,3.473254442610715,2.440780591745445,0.45079155150094025,0.8727567298504266,Eighth instar,Eighth instar,FALSE,4.202999999999999,FALSE,FALSE
HOHH,m,ninth,6.835,19.834,10.69,13.0115,13.5385,11.911,13.198,19.243,20.935,3.3695000000000004,2.9690000000000003,Ninth instar,26.55,25.109,40.178,14.561094052302526,1.8356197863392083,-0.052024555846096776,2.6783531809004435,3.279029747687948,3.223226347605459,3.6933195821399574,2.6055374784816707,0.6073821827020675,1.088225195781623,Ninth instar,Ninth instar,FALSE,1.3339999999999996,FALSE,FALSE
HRBI,m,eighth,6.366,16.236,8.936,10.8595,11.8585,10.066,11.3515,16.026,16.828,2.4875,2.661,Eighth instar,22.718,21.4175,32.854,12.0451191774926,1.5771810295587503,-0.12310969716210862,2.4886595303717756,3.1231575618092298,3.064208344856062,3.492073503119008,2.473044910022812,0.4556390950253053,0.9787019919955522,Eighth instar,Eighth instar,FALSE,2.2639999999999993,FALSE,FALSE
