row_id,ID,group,log_foreleg,logP_c,.fitted,.resid,.hat,.sigma,.cooksd,.std.resid,high_cooks,high_leverage,large_residual,flagged
256,UYSP,tenth,3.321035222410119,0.09909090264423104,3.3539362843437526,-0.032901061933633624,0.07774075093590646,0.033838148142776386,0.010799997769932426,-1.012415930863521,FALSE,TRUE,FALSE,TRUE
107,JZEI,ninth,3.1598474284059583,-0.13353139262452274,3.1915244455931293,-0.031677017187170975,0.0662444733425422,0.033842964902220836,0.008322101018971882,-0.968731121020857,FALSE,TRUE,FALSE,TRUE
260,VFCQ,eighth,3.083972062403399,-0.23133674627968404,3.0498349840750563,0.034137078328342785,0.05793470171792817,0.03383507224305365,0.008304062347528198,1.0393490171804753,FALSE,TRUE,FALSE,TRUE
285,XQBJ,tenth,3.288177981854794,-0.00850831550168607,3.318244998275342,-0.030067016420547876,0.07000302451245288,0.033847948252162696,0.007987218094737845,-0.9213510413190595,FALSE,TRUE,FALSE,TRUE
114,KEMO,tenth,3.2907126484868834,-0.02988663375019951,3.31115368585303,-0.020441037366146553,0.11369447225923145,0.03387226647544086,0.006601451549038263,-0.6416331112631913,FALSE,TRUE,FALSE,TRUE
66,GRAC,ninth,3.215610499491232,-0.13687029389003724,3.189508401362519,0.026102098128713003,0.07008787921891915,0.03385957929058088,0.006027969964187505,0.7998895592941625,FALSE,TRUE,FALSE,TRUE
109,KAIL,ninth,3.198693525505703,-0.14904798003102915,3.1821554574044857,0.016538068101217274,0.08523358133806262,0.033880638800055825,0.0030410320988052777,0.5109815668849943,FALSE,TRUE,FALSE,TRUE
27,CWPJ,ninth,3.32825027390609,0.07141585960488883,3.3152725568967267,0.012977717009363232,0.08515538917680125,0.03388621586276237,0.0018705753676333103,0.40095921314372274,FALSE,TRUE,FALSE,TRUE
153,NACP,ninth,3.2120324623861927,-0.12122645743414373,3.198954223123487,0.013078239262705793,0.05322938847367227,0.03388638290264916,0.0011087193776577271,0.39719379785154113,FALSE,TRUE,FALSE,TRUE
263,VHBT,tenth,3.3526371910467785,0.11914013906619814,3.3605867325990477,-0.007949541552269235,0.12116240239909075,0.03389166081401246,0.001082171092379476,-0.2505897679485845,FALSE,TRUE,FALSE,TRUE
5,AKPI,tenth,3.3100867049215847,-0.0011117288526905078,3.320698489058715,-0.010611784137130265,0.05837760500592801,0.03388934668086139,8.093393785143892e-4,-0.32316593982479636,FALSE,TRUE,FALSE,TRUE
86,IEPT,tenth,3.373415000649704,0.1439800866228811,3.3688262875832446,0.004588713066459249,0.19324980519156168,0.033893883749053416,6.824704511775699e-4,0.15097218022386028,FALSE,TRUE,FALSE,TRUE
287,XRPL,eighth,3.225771991556042,-0.00501254182354427,3.2175070642663224,0.008264927289719726,0.06912126855427464,0.033891589305935346,5.947914276039983e-4,0.25314423867561625,FALSE,TRUE,FALSE,TRUE
193,QDXY,ninth,3.3130945001071823,0.0557762863020661,3.30582930924756,0.007265190859622184,0.06603834765886687,0.03389240779500874,4.3620767839042086e-4,0.2221560115653485,FALSE,TRUE,FALSE,TRUE
230,SMXT,eighth,3.0474942081125804,-0.2259251942760867,3.053844127435073,-0.006349919322492514,0.053482795937007305,0.033893083074047814,2.6275720601121294e-4,-0.19287658844021405,FALSE,TRUE,FALSE,TRUE
222,SCBI,tenth,3.359281038560864,0.10760798819830586,3.3567614511267245,0.002519587434139492,0.09457551264256997,0.033894810036049786,7.994554019732172e-5,0.07824901514035243,FALSE,TRUE,FALSE,TRUE
129,LJJN,tenth,3.347902084603932,0.08935815818032045,3.3507078764344955,-0.002805791830563731,0.06141667856801304,0.03389474325738818,5.9911845176269793e-05,-0.08558439686496812,FALSE,TRUE,FALSE,TRUE
