row_id,ID,group,.rownames,log_midleg,logP_c,.fitted,.resid,.hat,.sigma,.cooksd,.std.resid,high_cooks,high_leverage,large_residual,flagged
173,OTIL,female,173,3.2572500259850923,0.07038079676179954,3.204788802855448,0.052461223129644186,0.008589903724307825,0.03382133107687191,0.0041859424509608865,1.5542259267239698,FALSE,FALSE,FALSE,FALSE
151,MXAY,female,151,3.2381685182486097,0.047201601484293976,3.189207807075869,0.04896071117274081,0.009806471723185804,0.03383848407814346,0.0041725625528982475,1.451409902479116,FALSE,FALSE,FALSE,FALSE
214,RNFD,female,214,3.289967824975614,0.13236752114435313,3.2464561204405324,0.043511704535081464,0.011854704712234286,0.03386285629974813,0.0040003328404963805,1.2912136223560493,FALSE,FALSE,FALSE,FALSE
144,MKMF,ninth,144,3.23887451137489,-0.043719707356326465,3.1969544697331904,0.0419200416416996,0.012688278050092979,0.033869423312241895,0.00398081797149519,1.244505914295309,FALSE,FALSE,FALSE,FALSE
189,PZFT,ninth,189,3.2451671588222695,-0.03361423663276253,3.203747341306576,0.04141981751569368,0.012691257157940582,0.033871460058322166,0.003887316025605177,1.2296573099134265,FALSE,FALSE,FALSE,FALSE
56,FKWM,eighth,56,3.1150030908031594,-0.14422326819529618,3.075492661123157,0.03951042968000262,0.013452329097343538,0.033878950730560006,0.0037550839040829884,1.1734244172093011,FALSE,FALSE,FALSE,FALSE
307,ZFKD,eighth,307,3.035409613206753,-0.14550758367123828,3.074629347545152,-0.03921973433839909,0.013515934002572906,0.03388006473409804,0.003718005397493159,-1.1648285757465513,FALSE,FALSE,FALSE,FALSE
24,CVHB,female,24,3.1389881051834054,0.03761686357130656,3.182764970765863,-0.043776865582457525,0.010697268650370429,0.03386183552944865,0.003645344861242896,-1.2983221455919751,FALSE,FALSE,FALSE,FALSE
9,AZJJ,female,9,3.1475301877976523,0.05301403528561699,3.193114910210523,-0.045584722412870704,0.009376769233967864,0.033854089794466725,0.0034554900626139764,-1.3510376954315217,FALSE,FALSE,FALSE,FALSE
301,YSQQ,eighth,301,3.0521598648526345,-0.22002342397796615,3.0245399902818453,0.027619874570789182,0.024180277207918544,0.03391754180224093,0.0033713225387986836,0.8247822619453815,FALSE,FALSE,FALSE,FALSE
274,WNVZ,ninth,274,3.1716374560413296,-0.02574524975185799,3.2090368541612313,-0.03739939811990167,0.012868214430867582,0.033886927632938074,0.003214637823591119,-1.110399994408128,FALSE,FALSE,FALSE,FALSE
266,VNSP,eighth,266,3.1294761436035867,-0.1190338175580361,3.092424945413887,0.03705119818969971,0.013028211848919355,0.033888183043444195,0.003195322196095388,1.1001509895964081,FALSE,FALSE,FALSE,FALSE
293,YFAT,female,293,3.304851665875471,0.1748865783064366,3.275037321912916,0.02981434396255489,0.019580547643372824,0.03391152479781743,0.0031512751035165315,0.888222364207095,FALSE,FALSE,FALSE,FALSE
133,LNMX,female,133,3.1753000421513247,0.09303486596718957,3.2200168102324787,-0.04471676808115399,0.008682902575627248,0.03385797650886258,0.0030747892730703117,-1.3248494050062969,FALSE,FALSE,FALSE,FALSE
282,XMEN,eighth,282,3.0935846737214954,-0.07003508106539513,3.1253617707590466,-0.03177709703755127,0.016691521652124057,0.03390572889346963,0.0030337487527896823,-0.9453045197666318,FALSE,FALSE,FALSE,FALSE
222,SCBI,tenth,222,3.3028492586443794,0.10760798819830586,3.3252706454709258,-0.022421386826546374,0.031453856590118956,0.03393019586330091,0.0029335467976154437,-0.6720548497566233,FALSE,FALSE,FALSE,FALSE
8,ATEZ,female,8,3.2248777770638353,0.04095531896548965,3.185009071942989,0.03986870512084639,0.010361248403860702,0.03387780307776172,0.002926562270376474,1.1822142512404812,FALSE,FALSE,FALSE,FALSE
39,DYFV,tenth,39,3.314058723845392,0.054461880224289994,3.289545967623813,0.02451275622157878,0.02647520096475499,0.03392546785384856,0.002921220419196133,0.7328600414340429,FALSE,FALSE,FALSE,FALSE
166,OCGB,female,166,3.20317318114091,0.016256040575005404,3.168406280182817,0.03476690095809287,0.013498691641002527,0.033896168544209744,0.0029178510214750005,1.0325701204832736,FALSE,FALSE,FALSE,FALSE
242,TRCQ,female,242,3.2536829663736064,0.07901654031822436,3.2105937275862373,0.043089238787369144,0.008475883320516405,0.03386495175888917,0.002785805922742503,1.2764963785859564,FALSE,FALSE,FALSE,FALSE
18,CBRE,eighth,18,3.065491517968844,-0.10845170822749917,3.0995382122397697,-0.03404669427092566,0.013317422904376654,0.03389860062657656,0.0027596244369364445,-1.0110872346027007,FALSE,FALSE,FALSE,FALSE
22,CPWC,female,22,3.121020408696148,-0.012860115729604882,3.1488344743859193,-0.027814065689771184,0.019131847864055133,0.033917206929290386,0.002677314630965356,-0.8284409638801319,FALSE,FALSE,FALSE,FALSE
88,ILNB,tenth,88,3.3441860158336474,0.10360898261902007,3.3225825241488782,0.02160349168476916,0.030836566998422802,0.03393200094450014,0.0026665804531521282,0.647333147766418,FALSE,FALSE,FALSE,FALSE
28,CWRT,eighth,28,3.0200101660135146,-0.18365577980709125,3.0489862276751487,-0.028976061661634134,0.017262538606291348,0.03391404410067407,0.0026118195129096597,-0.862229758050295,FALSE,FALSE,FALSE,FALSE
109,KAIL,ninth,109,3.1486679298247044,-0.14904798003102915,3.126153074241797,0.022514855582907334,0.027669297500709174,0.03393008513006783,0.002581922923048895,0.6735418292041399,FALSE,FALSE,FALSE,FALSE
