row_id,ID,group,log_foreleg,logP_c,.fitted,.resid,.hat,.sigma,.cooksd,.std.resid,high_cooks,high_leverage,large_residual,flagged
96,JONV,ninth,3.3356983994294596,0.019530259052632948,3.2839437881411087,0.051754611288350905,0.03295957918547978,0.033760478682134436,0.010305086638451762,1.555257490778799,FALSE,FALSE,FALSE,FALSE
218,RTXD,eighth,3.2402850041057003,-0.03160533941533106,3.197805814455084,0.042479189650616256,0.046839043762256775,0.03380316149885804,0.010155214943523953,1.2857859195721337,FALSE,FALSE,FALSE,FALSE
113,KEHR,female,3.218535767055096,0.1562912443263691,3.275587647096647,-0.05705188004155115,0.026146551953247513,0.03373257744352222,0.009795537572504035,-1.7084360287552904,FALSE,FALSE,FALSE,FALSE
146,MONY,eighth,3.2343750883151245,-0.046334847594367456,3.186893471771684,0.04748161654344063,0.03689991158467113,0.03378136972815987,0.009790268769248819,1.4297672643993993,FALSE,FALSE,FALSE,FALSE
275,WQOI,ninth,3.3337747053447213,-0.006688988150796549,3.2681124838131312,0.06566222153159007,0.018808284828609387,0.033681251325421206,0.00919461890877633,1.9589087226495638,FALSE,FALSE,FALSE,FALSE
286,XQHC,ninth,3.268770141142043,-0.09065436826813089,3.217413793826413,0.05135634731562977,0.028718008991326812,0.03376312762759348,0.008764215558690235,1.5399159716960655,FALSE,FALSE,FALSE,FALSE
303,YYNS,female,3.225016929624964,0.007472014838700858,3.1698219489147434,0.05519498071022033,0.024485189894841844,0.03374327107708405,0.008556498049100808,1.6514225731903864,FALSE,FALSE,FALSE,FALSE
107,JZEI,ninth,3.1598474284059583,-0.13353139262452274,3.1915244455931293,-0.031677017187170975,0.0662444733425422,0.033842964902220836,0.008322101018971882,-0.968731121020857,FALSE,TRUE,FALSE,TRUE
260,VFCQ,eighth,3.083972062403399,-0.23133674627968404,3.0498349840750563,0.034137078328342785,0.05793470171792817,0.03383507224305365,0.008304062347528198,1.0393490171804753,FALSE,TRUE,FALSE,TRUE
243,TSNP,tenth,3.2842514954983333,0.014067257211435535,3.3257334469624835,-0.041481951464150235,0.040141315862786735,0.03380804822963341,0.008183828273130545,-1.2512125566078687,FALSE,FALSE,FALSE,FALSE
