row_id,ID,group,log_foretibia,logP_c,.fitted,.resid,.hat,.sigma,.cooksd,.std.resid,high_cooks,high_leverage,large_residual,flagged
56,FKWM,eighth,2.5148294634392547,-0.14422326819529618,2.456028833574003,0.0588006298652517,0.014366344662824163,0.033745818318706836,0.005574385529875346,1.7491542750409745,FALSE,FALSE,FALSE,FALSE
15,CAPF,tenth,2.679993603319685,0.00912490777700059,2.6479680664492142,0.03202553687047072,0.04524925179281408,0.03386422499997117,0.005550626927543969,0.9679553288642053,FALSE,FALSE,FALSE,FALSE
243,TSNP,tenth,2.6159714612340825,0.014067257211435535,2.649848146540156,-0.03387668530607346,0.040141315862786735,0.033858329235221654,0.005451256786696309,-1.021177319409902,FALSE,FALSE,FALSE,FALSE
247,UCYK,female,2.46746373617628,0.02170713066057295,2.517911122673711,-0.05044738649743108,0.01882028758085334,0.03379034397315628,0.005424057591446588,-1.5040708410858794,FALSE,FALSE,FALSE,FALSE
230,SMXT,eighth,2.3757890852524617,-0.2259251942760867,2.4044022120523483,-0.02861312679988659,0.053482795937007305,0.033874387495758586,0.005328506871901836,-0.8685702765228785,FALSE,TRUE,FALSE,TRUE
280,XDBU,female,2.584789691437459,0.03587645212724078,2.527423526913511,0.05736616452394827,0.014405023924675794,0.03375405103789291,0.0053204266814242535,1.7065164280656395,FALSE,FALSE,FALSE,FALSE
130,LKHO,eighth,2.5412475999659256,-0.09293799565926908,2.488435479070148,0.05281212089577769,0.016736839776288554,0.033778521640826543,0.005264037243177215,1.5729054771715438,FALSE,FALSE,FALSE,FALSE
208,RIJE,female,2.4754874278715087,0.06583975749554294,2.5475390330578485,-0.0720516051863398,0.009088021732428488,0.0336613387458704,0.005238468470811411,-2.1376176234953,FALSE,FALSE,FALSE,FALSE
287,XRPL,eighth,2.5682132559144106,-0.00501254182354427,2.5439946848936192,0.02421857102079139,0.06912126855427464,0.03388578994961966,0.0051008238570176105,0.7413202451486959,FALSE,TRUE,FALSE,TRUE
21,CHCF,female,2.549679518464042,0.1400034591013657,2.5973279457629523,-0.04764842729891017,0.019402755754816012,0.03380389514447491,0.0049945576928374135,-1.4210427275584674,FALSE,FALSE,FALSE,FALSE
198,QRKY,female,2.4825705899904524,0.07515900692470479,2.55379539953173,-0.07122480954127752,0.008547159004706924,0.033667315886205584,0.004809036419617482,-2.112511907818473,FALSE,FALSE,FALSE,FALSE
87,IJNE,ninth,2.5655261141823216,-0.11404004937754908,2.536513817033972,0.02901229714834974,0.04646440310068166,0.0338735253260299,0.004689522111130253,0.8774402681842922,FALSE,FALSE,FALSE,FALSE
44,ECOO,ninth,2.6044658848456397,-0.0737661502396092,2.559027439452135,0.04543844539350461,0.01996246616409327,0.03381404253881592,0.004678358695916933,1.3555202495585412,FALSE,FALSE,FALSE,FALSE
