row_id,ID,group,log_eye,logP_c,log_head_size_c,.fitted,.resid,.hat,.sigma,.cooksd,.std.resid,high_cooks,high_leverage,large_residual,flagged
149,MUVY,tenth,1.1100466662937727,0.023879273789943145,0.3741035778162125,1.1557936032051128,-0.04574693691134013,0.027192285854410362,0.046611775465517334,0.004613038966479834,-0.9950842013423703,FALSE,FALSE,FALSE,FALSE
273,WKXK,ninth,1.0402767116551463,0.007609860314141459,0.2876949378995075,1.0938136608185336,-0.05353694916338725,0.019497335291067033,0.04658470779935433,0.004459193506064755,-1.159953403908939,FALSE,FALSE,FALSE,FALSE
286,XQHC,ninth,1.0141431320416596,-0.09065436826813089,0.07786511676687535,0.9627597899859469,0.05138334205571271,0.02087242272130394,0.04659265765818234,0.0044097134548359805,1.11407395289591,FALSE,FALSE,FALSE,FALSE
303,YYNS,female,0.9186878564738765,0.007472014838700858,-0.18891216735244543,0.9638202545573491,-0.04513239808347258,0.02631869394746104,0.04661385379593496,0.0043378933198897655,-0.9812762958257977,FALSE,FALSE,FALSE,FALSE
187,PXBQ,eighth,1.0290835593492773,-0.08731445321562004,0.05270260480518685,0.978825087613778,0.050258471735499355,0.021148408208546843,0.04659672709268345,0.004276947465948332,1.0898385517654645,FALSE,FALSE,FALSE,FALSE
58,FRAY,female,0.9541643843022365,0.029828453045389614,-0.31272186602256635,0.8949741069886784,0.05919027731355808,0.015425747685677053,0.04656242314246065,0.004276824225994739,1.2797862840311727,FALSE,FALSE,FALSE,FALSE
121,KVWU,female,0.9305880365749793,0.11617680809167541,-0.14750361032862846,0.9991125077258494,-0.06852447115087001,0.011247787704903358,0.046520621987496714,0.004144335790981628,-1.4784725723260512,FALSE,FALSE,FALSE,FALSE
156,NDWV,ninth,1.0201100605131523,-0.06187540371808753,0.2532191925907705,1.0666494458776627,-0.04653938536451041,0.02365526537114538,0.0466094228298445,0.00412319724896427,-1.0104861444082065,FALSE,FALSE,FALSE,FALSE
256,UYSP,tenth,1.2103027280208056,0.09909090264423104,0.38683166489228027,1.1710546992925852,0.03924802872822042,0.03249396688078141,0.046631372050959095,0.004102064119254184,0.8560562879905721,FALSE,FALSE,FALSE,FALSE
3,AGNG,female,0.9841362787692223,0.02807442169775265,-0.27154095705589887,0.9184732458843409,0.0656630328848814,0.0119555036031863,0.04653415023927348,0.004050681735667698,1.4172419551431108,FALSE,FALSE,FALSE,FALSE
44,ECOO,ninth,1.1100466662937727,-0.0737661502396092,0.2596634713912276,1.0691003174518388,0.04094634884193393,0.029135452675201262,0.046626649219464814,0.003975632448988487,0.8915530184225287,FALSE,FALSE,FALSE,FALSE
65,GMLX,eighth,1.015049503897419,-0.057011365828508076,0.020141913504548636,0.9632978795753709,0.05175162432204805,0.01852811934715125,0.04659152633380454,0.0039518000715039765,1.1207180549774998,FALSE,FALSE,FALSE,FALSE
148,MTZI,female,0.9781381352002352,0.0196664524474639,-0.27396492735579114,0.91619144146633,0.061946693733905156,0.01300386771604614,0.04655085624649886,0.003929608478870208,1.3377400217496858,FALSE,FALSE,FALSE,FALSE
266,VNSP,eighth,1.0202903218926398,-0.1190338175580361,0.058995845194261154,0.9790955971148546,0.041194724777785185,0.028202344199235837,0.0466259716104286,0.0038876584505049285,0.8965303494548515,FALSE,FALSE,FALSE,FALSE
252,UNBX,eighth,0.9978707188665779,-0.1120184329515308,-0.011117298819715682,0.9395121863067025,0.05835853255987533,0.014215726181817389,0.0465660567597711,0.003821953347405139,1.2610280119937345,FALSE,FALSE,FALSE,FALSE
176,OZHE,female,0.8261471820211891,-0.017654935238720748,-0.3432481319860239,0.8724042985534225,-0.04625711653223341,0.02225303443164902,0.046610473518859705,0.003820892139015907,-1.0036369284949445,FALSE,FALSE,FALSE,FALSE
68,GVKA,eighth,0.8542025395607333,-0.2038857347097951,-0.21132222636596865,0.8146692537401875,0.03953328582054583,0.029795329139772852,0.04663071557949821,0.003795060179327592,0.8610781034675145,FALSE,FALSE,FALSE,FALSE
201,QXSG,female,1.0360274134764884,0.0718037321289835,-0.20374519008171488,0.9620814657648048,0.07394594771168361,0.008882395854990333,0.04649363939665799,0.0037929741236025476,1.593540472556588,FALSE,FALSE,FALSE,FALSE
62,FZRV,female,0.9818911889581039,0.0800427076735366,-0.2736539590169511,0.9227447830774458,0.059146405880658115,0.013699311815774213,0.04656282643484233,0.003779272212639189,1.2777179762964415,FALSE,FALSE,FALSE,FALSE
221,SBJVC,ninth,1.1259031489040134,-0.10274049412361563,0.32024042224337057,1.1008807725843202,0.025022376319693285,0.06822838575524665,0.04666360435506257,0.0037746320610144014,0.5561412737106195,FALSE,TRUE,FALSE,TRUE
280,XDBU,female,0.8792117236327343,0.03587645212724078,-0.22974387481504133,0.9433356880142992,-0.06412396438156498,0.011645037356310606,0.046541294467258625,0.003760339850643061,-1.3838059843282964,FALSE,FALSE,FALSE,FALSE
244,TSPY,female,0.8907677746430693,-0.016524672332297596,-0.3816934560364609,0.8504126162941856,0.0403551583488837,0.028196136114727096,0.046628440932447224,0.0037299399867504733,0.8782558652919318,FALSE,FALSE,FALSE,FALSE
