row_id,ID,group,.rownames,log_hindleg,logP_c,.fitted,.resid,.hat,.sigma,.cooksd,.std.resid,high_cooks,high_leverage,large_residual,flagged
79,HNUV,eighth,79,3.473254442610715,-0.148081173639254,3.5158232062810106,-0.042568763670295606,0.015452998799573747,0.03624635182460715,0.0027449160433816503,-1.1828273765004076,FALSE,FALSE,FALSE,FALSE
109,KAIL,ninth,109,3.6044783038801134,-0.14904798003102915,3.5877381818606002,0.016740122019513137,0.08523358133806264,0.036316362019750976,0.0027121560694247124,0.4825608336818201,FALSE,TRUE,FALSE,TRUE
272,WJST,female,272,3.730944675507305,0.1218488331626284,3.775791562952275,-0.04484688744497012,0.01378680128554803,0.03623726925057502,0.002708904135485998,-1.2450748448765374,FALSE,FALSE,FALSE,FALSE
22,CPWC,female,22,3.6392164090948356,-0.012860115729604882,3.666773947256912,-0.02755753816207651,0.03471290444369503,0.03629445509979346,0.0026882268531542215,-0.7733226398261756,FALSE,FALSE,FALSE,FALSE
239,TART,female,239,3.800163640141601,0.08132393782958514,3.74299546809857,0.05716817204303082,0.008479545243727677,0.036179802733397534,0.0026784586453743636,1.5828946976410638,FALSE,FALSE,FALSE,FALSE
243,TSNP,tenth,243,3.694414109612411,0.014067257211435535,3.7195387792635928,-0.025124669651181986,0.0401413158627867,0.03630034279431289,0.0026132734508858718,-0.7070420907434881,FALSE,FALSE,FALSE,FALSE
117,KPNC,female,117,3.647510435003008,0.0015266119126129407,3.6784168763875362,-0.03090644138452836,0.027215904740391275,0.03628554943112898,0.002610327426697281,-0.8639514331085091,FALSE,FALSE,FALSE,FALSE
130,LKHO,eighth,130,3.5912252792984884,-0.09293799565926908,3.5521253208982597,0.03909995840022873,0.0170542569444462,0.036259377045736056,0.002564090963804196,1.0873267680349512,FALSE,FALSE,FALSE,FALSE
258,VDVI,tenth,258,3.76051383374434,0.05722014032989153,3.7313031955973606,0.029210638146979218,0.029586566787301233,0.03629023310135341,0.0025472419057744247,0.8175441258697571,FALSE,FALSE,FALSE,FALSE
139,LYTH,female,139,3.7529100337710726,0.03962127394373627,3.7092462255844936,0.043663808186579,0.01344203975969993,0.036242150956214775,0.002501902115444306,1.212017429832166,FALSE,FALSE,FALSE,FALSE
266,VNSP,eighth,266,3.578199258459857,-0.1190338175580361,3.5349457974775347,0.04325346098232252,0.013262127661807774,0.03624381823390662,0.0024213549895413214,1.2005175759104527,FALSE,FALSE,FALSE,FALSE
34,DOCI,ninth,34,3.6707536701298547,-0.06824910053410682,3.6337517506457973,0.0370019194840574,0.017840101811137238,0.03626674230388758,0.002405960917642852,1.029394189111695,FALSE,FALSE,FALSE,FALSE
94,JDYH,ninth,94,3.5985170140335447,-0.06098927162642975,3.6378860980388805,-0.039369084005335786,0.015601026085206336,0.03625850232947816,0.0023709839097782936,-1.094002442294324,FALSE,FALSE,FALSE,FALSE
72,HDAF,tenth,72,3.757472245579548,0.04494680909720494,3.727957218040607,0.029515027538941307,0.026371780482333688,0.03628952794438682,0.0023027493036367136,0.824698441362556,FALSE,FALSE,FALSE,FALSE
213,RNCJ,female,213,3.6709700335703683,0.04812856970269341,3.7161310324758214,-0.04516099890545311,0.011571232730657879,0.036236171234697134,0.0022952134598075518,-1.2523894732266154,FALSE,FALSE,FALSE,FALSE
310,ZRDE,ninth,310,3.7031274673791374,-0.010892441166423739,3.6664153792448118,0.03671208813432569,0.017302944564730326,0.0362677695745646,0.0022945948232662057,1.0210518990296114,FALSE,FALSE,FALSE,FALSE
44,ECOO,ninth,44,3.6643305811925235,-0.0737661502396092,3.6306098859603453,0.033720695232178244,0.019962466164093286,0.036277412429249895,0.002245582129635134,0.9391256947499412,FALSE,FALSE,FALSE,FALSE
66,GRAC,ninth,66,3.5778501232641817,-0.13687029389003724,3.594673164157161,-0.016823040892979257,0.07008787921891918,0.036316453047068355,0.002179592129900578,-0.480985632548474,FALSE,TRUE,FALSE,TRUE
4,AIZJ,female,4,3.6919248122998964,0.08055539673885526,3.742373501124852,-0.05044868882495557,0.008475366865740673,0.036213162088804825,0.002084771130625712,-1.3968400760745936,FALSE,FALSE,FALSE,FALSE
81,HRBI,eighth,81,3.492073503119008,-0.12310969716210862,3.5322625453695977,-0.0401890422505895,0.013162116153452131,0.03625566145204895,0.002074228195977345,-1.115406850313012,FALSE,FALSE,FALSE,FALSE
132,LMMX,female,132,3.7535781186778645,0.043751034026134894,3.7125883687849215,0.04098974989294302,0.012478924903594736,0.0362527072575347,0.002042876394676641,1.137236105521219,FALSE,FALSE,FALSE,FALSE
212,RMQE,female,212,3.7316994512968646,0.11704202043166423,3.771901492787426,-0.0402020414905615,0.012635374118421649,0.03625565299280276,0.00199038147379399,-1.1154699701558863,FALSE,FALSE,FALSE,FALSE
226,SEVZ,female,226,3.82929335782915,0.15284029784214792,3.8008724177436752,0.02842094008547491,0.024583058420745763,0.03629256744833011,0.001983075872173614,0.7933993664659628,FALSE,FALSE,FALSE,FALSE
250,ULBD,ninth,250,3.707553994378745,0.018030906219439924,3.6828867269011645,0.024667267477580523,0.03192908077664293,0.03630167022521349,0.0019697961368961544,0.6912195508389933,FALSE,FALSE,FALSE,FALSE
175,OWAU,ninth,175,3.683389411370298,-0.04851936750482522,3.6449874934371436,0.038401917933154284,0.013223731054697953,0.03626215594212079,0.0019029596211321022,1.0658402686663109,FALSE,FALSE,FALSE,FALSE
261,VFPH,ninth,261,3.710922217489484,0.030771658666753465,3.690142365751106,0.020779851738377708,0.041540721966963914,0.03630978863441568,0.0018553195708709848,0.5851998001949371,FALSE,FALSE,FALSE,FALSE
164,NUDB,female,164,3.824076646024107,0.14518200984449803,3.7946746981068,0.02940194791730688,0.021372001319993377,0.03629004708071788,0.0018330286564110752,0.8194375155824851,FALSE,FALSE,FALSE,FALSE
116,KORY,eighth,116,3.453141297682875,-0.21484474849951463,3.471871097686287,-0.0187298000034124,0.04609467277715828,0.03631356207239878,0.0016885487198989814,-0.5287240437144929,FALSE,FALSE,FALSE,FALSE
211,RJVU,female,211,3.686839875586999,0.06492906986348834,3.72972738583676,-0.04288751024976101,0.009169195590823541,0.03624562928131154,0.0016323039603371118,-1.1878993433641611,FALSE,FALSE,FALSE,FALSE
7,ASOK,female,7,3.7603858307651863,0.05393563366563847,3.7208305886124906,0.03955524215269568,0.01054690959128502,0.0362581915288565,0.001601585129148822,1.09636458993264,FALSE,FALSE,FALSE,FALSE
309,ZIER,tenth,309,3.7193237864880113,0.0786314559158019,3.7371403868254625,-0.01781660033745114,0.04702538558407364,0.03631514236234716,0.0015618039082725174,-0.5031908432498545,FALSE,FALSE,FALSE,FALSE
112,KECL,female,112,3.7985519099813003,0.10235600663752753,3.7600163565654308,0.03853555341586956,0.009987701799370068,0.03626190480992536,0.0014378537577421594,1.0677998684899603,FALSE,FALSE,FALSE,FALSE
159,NLMH,female,159,3.793779863939306,0.09417317001724945,3.753394128827012,0.04038573511229426,0.009081311180724569,0.036255238886801086,0.0014332951511715805,1.1185555067974111,FALSE,FALSE,FALSE,FALSE
97,JOYH,tenth,97,3.701869714152181,0.029289078706530747,3.723688579519928,-0.021818865367747353,0.029444220119072034,0.03630796522491329,0.0014139384615817537,-0.6106192195853646,FALSE,FALSE,FALSE,FALSE
180,PIKP,tenth,180,3.711728905711581,0.061539236108976825,3.73248067522928,-0.020751769517698637,0.03189339992484085,0.036310048273314875,0.0013924251380849717,-0.5814898014805936,FALSE,FALSE,FALSE,FALSE
307,ZFKD,eighth,307,3.4868550650441135,-0.14550758367123828,3.5175174640553926,-0.030662399011279096,0.014986151269410063,0.0362868016867296,0.00137982760326387,-0.8517919278007539,FALSE,FALSE,FALSE,FALSE
172,OQDA,ninth,172,3.6251139674415493,-0.026743324975510907,3.657388574207455,-0.032274606765905656,0.013524016313491528,0.0362821728925065,0.0013755035000164832,-0.8959138670553289,FALSE,FALSE,FALSE,FALSE
90,IULK,ninth,90,3.673803886645193,0.03278982282299103,3.691291675442046,-0.017487788796852755,0.043241035801919736,0.03631575558081938,0.0013726756688542425,-0.4929265231246801,FALSE,FALSE,FALSE,FALSE
10,BBRM,ninth,10,3.6154885325103185,-0.042124926300671106,3.648629017453593,-0.03314048494327437,0.012724764675242039,0.03627959382883067,0.0013623795592296046,-0.9195774119338376,FALSE,FALSE,FALSE,FALSE
100,JPJT,female,100,3.7860515358661955,0.08451984978597449,3.7455818642090217,0.040469671657173745,0.008535435771645374,0.03625496767910619,0.0013512564958809174,1.1205716735367246,FALSE,FALSE,FALSE,FALSE
