ID,sex,morph,pronotum,head_length,head_width,forefemur,foretibia,midfemur,midtibia,hindfemur,hindtibia,ear,eye
GRRD,f,female,8.442,14.197,8.339,13.5855,14.053,13.121,14.2585,22.7845,24.316000000000003,2.841,3.009
GVKA,m,eighth,5.872,13.478,7.521,10.1655,11.026,9.719,10.623,15.133,16.374000000000002,2.1734999999999998,2.3495
GWYL,m,eighth,5.92,16.774,8.731,10.914000000000001,11.6735,10.323,11.751,16.380499999999998,18.250999999999998,2.3685,2.7264999999999997
GXQD,m,ninth,6.927,18.852,9.86,12.746500000000001,13.398,11.398499999999999,12.549,18.485500000000002,19.924500000000002,2.9295,2.553
GYFU,f,female,7.837,12.903,8.14,12.2825,12.7065,11.982,12.658000000000001,20.489,22.090000000000003,2.9325,2.7525
HDAF,m,tenth,7.531,26.841,13.06,14.228,14.2835,13.025,13.937,20.3855,22.454500000000003,3.2815,3.261
HDAI,f,female,8.598,13.123,8.376,13.2395,13.594,12.476500000000001,13.684999999999999,21.2285,22.2305,3.3040000000000003,2.6435000000000004
HDZC,m,tenth,7.016,26.317,12.597,14.188500000000001,14.2935,12.6905,13.972000000000001,19.216,21.682000000000002,3.452,3.3075
HEDP,m,eighth,6.63,17.281,9.623,11.7425,12.136,10.809000000000001,12.348,17.186,18.021,2.372,2.668
HIHW,m,eighth,6.642,17.722,9.652,11.617999999999999,11.822,10.412,11.254999999999999,17.735999999999997,17.418,2.2345,2.8165
HKWK,m,eighth,5.941,13.855,7.876,10.115,11.288499999999999,9.4915,10.7415,14.873000000000001,16.634,2.166,2.2824999999999998
HNNH,f,female,7.932,12.877,8.501,12.771,13.3885,12.2865,13.5185,20.2335,22.395,3.2625,2.7115
HNUV,m,eighth,6.209,14.297,7.959,10.4925,11.482,9.7135,10.987,15.4,16.8415,2.4635,2.3935
HOHH,m,ninth,6.835,19.834,10.69,13.0115,13.538499999999999,11.911000000000001,13.198,19.243000000000002,20.935,3.3695000000000004,2.9690000000000003
HRBI,m,eighth,6.366,16.236,8.936,10.8595,11.8585,10.065999999999999,11.351500000000001,16.026,16.828,2.4875,2.661
HTCT,m,ninth,6.883,19.441,10.022,12.1655,12.4205,11.061,11.842500000000001,17.391,19.044,2.7285000000000004,2.8555
HZFK,m,eighth,6.394,15.555,8.729,10.8295,11.875,10.2625,11.204,16.522,18.53,2.3075,2.5535
IEAL,f,female,8.07,12.35,7.855,12.353,13.297,12.066,13.238,20.5385,22.2185,3.5225,2.5090000000000003
IEJY,m,eighth,6.773,17.49,9.377,12.2005,12.4485,10.864,12.065,18.0015,19.688499999999998,2.8665000000000003,2.7675
IEPT,m,tenth,8.315,26.643,13.137,14.4845,14.6935,13.0695,14.533000000000001,20.6805,21.8,3.7465,3.2235
IJNE,m,ninth,6.424,19.308,10.008,11.959499999999998,13.0075,11.045,12.278,17.7025,19.3755,2.9255,2.6609999999999996
ILNB,m,tenth,7.986,28.721,13.475,14.826,15.211500000000001,13.407,14.9305,21.793,23.204,4.2485,3.4415
INPV,f,female,8.313,13.432,8.742,12.872,13.526,12.5615,13.74,21.695999999999998,24.692999999999998,3.7075,2.7184999999999997
IULK,m,ninth,7.44,21.772,11.028,13.452,14.107,12.4105,13.4985,18.819000000000003,20.582500000000003,3.612,2.895
IVIQ,f,female,7.136,11.831,7.485,11.600999999999999,12.4455,11.143,11.885,18.755499999999998,20.777,3.3045,2.331
IVMB,m,ninth,6.781,18.67,10.015,12.5145,12.9055,11.458,12.684,17.556,19.359,2.996,2.8095
JDGM,f,female,8.406,13.539,8.465,12.7275,13.224,12.6085,13.318,21.4675,23.597,2.6755,2.65
JDYH,m,ninth,6.774,19.74,10.168,11.907,12.843,10.84,12.246,17.551499999999997,18.9925,2.9000000000000004,2.792
JHFO,f,female,6.971,12.886,8.017,12.565999999999999,13.074,12.1725,13.16,21.2325,22.9385,3.3155,2.669
JONV,m,ninth,7.342,23.156,11.785,13.6955,14.4025,12.39,13.526,19.381,20.695,3.4595000000000002,2.8935000000000004
JOYH,m,tenth,7.414,24.457,12.21,13.416,13.832,12.122499999999999,13.2905,19.512,21.011,3.519,3.1275
JOZD,m,eighth,7.256,16.209,9.412,11.2775,11.95,10.3275,11.413499999999999,17.057,17.9255,3.1285,2.7855
JPJS,f,female,6.995,10.969,6.936,10.9785,11.803,10.582,11.6075,17.6415,19.595,2.6265,2.1685
JPJT,f,female,7.835,13.111,8.49,12.345500000000001,13.317499999999999,12.0705,13.056000000000001,21.186,22.896,3.0140000000000002,2.9145000000000003
JRYP,m,eighth,6.363,16.788,8.989,11.1125,11.924499999999998,10.4475,11.5195,16.532,17.594,2.634,2.576
JUCL,m,ninth,6.851,19.717,10.705,12.4775,12.639500000000002,11.792000000000002,12.471499999999999,18.661,19.8905,3.168,2.7439999999999998
JUGA,f,female,8.045,11.889,7.778,11.904,12.875499999999999,11.0465,12.4295,19.1545,21.112,3.0694999999999997,2.622
JUJH,m,ninth,6.96,22.524,11.538,12.855,13.918,11.905000000000001,13.329,18.9465,20.903,3.578,2.946
JUYN,f,female,7.093,11.163,7.346,11.2405,11.627500000000001,11.187,11.9205,19.03,19.717,2.2695,2.4425
JXVQ,m,tenth,7.569,24.528,11.963,13.0375,14.0435,12.0875,13.6655,18.5095,20.92,3.125,2.8555
JZEI,m,ninth,6.3,19.836,10.188,11.535,12.032,10.6675,11.831,17.2205,18.424,2.469,2.6265
JZJE,f,female,7.86,13.206,8.405,11.9265,12.425,11.9265,13.0525,20.567,21.443,3.0065,2.821
KAIL,m,ninth,6.203,20.802,10.235,11.967500000000001,12.533,11.3315,11.9735,17.9195,18.843,2.4604999999999997,2.7845
KAOK,f,female,8.294,13.678,8.876,12.49,12.916,11.8585,12.920000000000002,20.641,21.37,3.1959999999999997,2.747
KDQD,f,female,8.386,13.123,8.707,13.0765,13.543,13.003499999999999,13.41,21.6925,23.844,3.5055,2.5869999999999997
KECL,f,female,7.976,13.375,8.381,12.505500000000001,13.3605,12.357,13.154499999999999,21.4985,23.137999999999998,3.1295,2.558
KEHR,f,female,8.418,13.77,8.728,11.7695,13.222,12.1955,13.383,20.781,23.427500000000002,3.378,2.573
KEMO,m,tenth,6.988,24.995,12.657,13.3995,13.462499999999999,12.033,13.303999999999998,19.667,21.167,2.866,2.9855
KIIU,m,tenth,7.58,25.714,12.751,13.7775,14.068000000000001,12.626999999999999,13.87,19.7915,21.3825,3.3605,2.9025
KORY,m,eighth,5.808,13.152,7.449,9.427,10.875,9.096,10.1915,14.8015,16.798000000000002,2.3735,2.2115
KPNC,f,female,7.211,11.288,7.282,11.056000000000001,11.888,10.484,11.663,18.0255,20.3535,2.527,2.399
KSLC,f,female,8.268,13.01,8.361,12.593,13.395,12.096,13.3565,20.659,22.532,3.477,2.8339999999999996
KTFS,m,ninth,6.697,19.238,10.176,12.693999999999999,13.2935,11.439499999999999,12.689,17.930500000000002,20.328000000000003,3.0685000000000002,2.572
KTNC,f,female,7.763,11.825,7.794,12.0405,12.475,11.669,12.763,19.643500000000003,21.127499999999998,3.0145,2.4085
KVWU,f,female,8.087,13.519,8.519,12.531500000000001,13.136,12.1355,13.721499999999999,21.7855,23.061,3.3055000000000003,2.5359999999999996
KWNJ,f,female,7.611,13.072,8.163,12.127500000000001,12.9605,11.586500000000001,12.5445,20.3485,21.337,3.082,2.6740000000000004
KYRB,m,ninth,6.86,20.106,10.316,12.75,13.0545,11.557,13.2275,18.8615,20.122500000000002,2.7305,2.6574999999999998
LAZJ,m,ninth,6.897,23.07,11.614,12.329,12.5445,11.236,12.127500000000001,18.7345,20.194,2.6814999999999998,3.0010000000000003
LEZS,m,eighth,6.478,17.353,9.359,12.491,12.8715,11.3505,12.361,17.8905,19.2015,2.566,2.3685
