"trait","model","contrast","n","estimate_log","SE","df","lower_95_log","upper_95_log","p_value","percent","lower_95_percent","upper_95_percent","units","df_method","p_holm","holm_family","direction","holm_below_05"
"midleg","M3_free_groups","ninth_minus_midpoint",312,0.00414854018591147,0.00812471715903933,186.551614629881,-0.0118795924033791,0.020176672775202,0.61022971777983,0.41571572907631,-1.18093086350206,2.03815977516105,"percent length","Welch-Satterthwaite (independent group regressions)",1,"Five traits: M3_free_groups ninth_minus_midpoint","positive",FALSE
"hindleg","M0_original","average_male_step",311,0.0444585442788408,0.00505744084549095,307,0.0345069102635812,0.0544101782941005,1.08085850117057e-16,4.54616354460484,3.51091812286778,5.59176278314367,"percent length","residual (matches OLS)",2.16171700234114e-16,"Five traits: M0_original average_male_step","positive",TRUE
"hindleg","M0_original","matched_sex",311,0.021990645885219,0.00636879630285348,307,0.00945862982016823,0.0345226619502698,0.000632542977342039,2.22342223294669,0.950350403046385,3.51254860726031,"percent length","residual (matches OLS)",0.000632542977342039,"Five traits: M0_original matched_sex","positive",TRUE
"hindleg","M0_original","step_minus_sex",311,0.0224678983936218,0.00670317163139349,307,0.00927792487636889,0.0356578719108747,0.000903200103887592,2.27222026118935,0.93210982378134,3.63012380712927,"percent ratio of multiplicative effects (not percentage points)","residual (matches OLS)",0.000903200103887592,"Five traits: M0_original step_minus_sex","positive",TRUE
"hindleg","M1_group_variance","average_male_step",311,0.0446925105329487,0.00503222687039563,146.756856159717,0.0347475194272939,0.0546375016386034,2.15460208922594e-15,4.57062668053326,3.53582679481966,5.61576898429309,"percent length","Satterthwaite (emmeans)",4.30920417845187e-15,"Five traits: M1_group_variance average_male_step","positive",TRUE
"hindleg","M1_group_variance","matched_sex",311,0.0217258628306325,0.00631663448244332,149.319657347184,0.00924432861455827,0.0342073970467068,0.000755749966779076,2.19635878608675,0.928718939155445,3.47991987722305,"percent length","Satterthwaite (emmeans)",0.000755749966779076,"Five traits: M1_group_variance matched_sex","positive",TRUE
"hindleg","M1_group_variance","step_minus_sex",311,0.0229666477023161,0.00672981901007996,266.935937955862,0.00971636914372395,0.0362169262609083,0.000743130762449135,2.32324118261027,0.976372631403693,3.6880748760274,"percent ratio of multiplicative effects (not percentage points)","Satterthwaite (emmeans)",0.000743130762449135,"Five traits: M1_group_variance step_minus_sex","positive",TRUE
"hindleg","M2_group_slopes","average_male_step",311,0.0496998532859119,0.00615651706828117,100.633166742652,0.0374864397814806,0.0619132667903432,1.53063639421342e-12,5.09556081595752,3.81979187957277,6.38700678607137,"percent length","Satterthwaite (emmeans)",6.12254557685368e-12,"Five traits: M2_group_slopes average_male_step","positive",TRUE
"hindleg","M2_group_slopes","matched_sex",311,0.0419260390289536,0.00916832401910049,150.201349663971,0.0238104962085961,0.0600415818493111,9.98661213207197e-06,4.28173481147794,2.40962293827178,6.18807005906282,"percent length","Satterthwaite (emmeans)",9.98661213207197e-06,"Five traits: M2_group_slopes matched_sex","positive",TRUE
"hindleg","M2_group_slopes","step_minus_sex",311,0.00777381425695828,0.00747472959536397,214.191236686863,-0.00695963458874057,0.0225072631026571,0.299506505668183,0.780410880151565,-0.6935472417724,2.27624625662287,"percent ratio of multiplicative effects (not percentage points)","Satterthwaite (emmeans)",0.299506505668183,"Five traits: M2_group_slopes step_minus_sex","positive",FALSE
"hindleg","M3_free_groups","average_male_step",311,0.0511975209412237,0.00633805891628162,109.801533261793,0.0386367233460545,0.0637583185363928,9.28892625014713e-13,5.25307696208455,3.93928279088964,6.58347751229151,"percent length","Welch-Satterthwaite (independent group regressions)",3.71557050005885e-12,"Five traits: M3_free_groups average_male_step","positive",TRUE
"hindleg","M3_free_groups","matched_sex",311,0.0385223225444005,0.00978601388726779,91.4889254114214,0.0190850075507519,0.0579596375380491,0.00016107776514545,3.92739273374402,1.92682904356805,5.96722238672886,"percent length","Welch-Satterthwaite (independent group regressions)",0.00016107776514545,"Five traits: M3_free_groups matched_sex","positive",TRUE
"hindleg","M3_free_groups","step_minus_sex",311,0.0126751983968232,0.00895229659426855,225.599365065483,-0.00496561609961504,0.0303160128932614,0.158195610545074,1.27558692031932,-0.495330780916655,3.07802223303186,"percent ratio of multiplicative effects (not percentage points)","Welch-Satterthwaite (independent group regressions)",0.158195610545074,"Five traits: M3_free_groups step_minus_sex","positive",FALSE
"hindleg","M3_free_groups","ninth_minus_eighth",311,0.0593097401788026,0.0114545173761774,109.18389176153,0.0366076882754027,0.0820117920822026,1.03238981281775e-06,6.11038563429958,3.72860015439905,8.54686096891541,"percent length","Welch-Satterthwaite (independent group regressions)",5.16194906408875e-06,"Five traits: M3_free_groups ninth_minus_eighth","positive",TRUE
"hindleg","M3_free_groups","tenth_minus_ninth",311,0.0430853017036447,0.00906139578921078,70.622932684447,0.0250157197958413,0.0611548836114482,1.0172217583282e-05,4.40269483296954,2.5331238395481,6.30635525591926,"percent length","Welch-Satterthwaite (independent group regressions)",2.03444351665641e-05,"Five traits: M3_free_groups tenth_minus_ninth","positive",TRUE
