"trait","model","group","n","observed_mean_log","fitted_mean_log","simulated_mean_lower","simulated_mean_upper","observed_sd_log","simulated_sd_lower","simulated_sd_upper","mean_in_simulation_band","sd_in_simulation_band","residual_sd_model","normalised_residual_mean","normalised_residual_sd"
"midleg","M0_original","tenth",38,3.28190804520916,3.2898971046302,3.27878827453374,3.3007666148333,0.0297932570765253,0.0345252744277614,0.0526746342018485,TRUE,FALSE,0.0342401175997323,-0.233324532188655,0.878982445782848
"midleg","M1_group_variance","female",118,3.21128533783437,3.21128533783437,3.20593449374206,3.21688135725755,0.0490536443178977,0.0420870931064584,0.0520024157940957,TRUE,TRUE,0.0305158775676004,-1.60530722425037e-14,0.997881346214217
"midleg","M1_group_variance","eighth",77,3.08854202901506,3.09323796210467,3.08429734304999,3.10183468465492,0.0553320800719954,0.0470045176368175,0.0618865675083555,TRUE,TRUE,0.0385061560249134,-0.121952788187283,0.991994405628716
"midleg","M1_group_variance","ninth",79,3.20027065761788,3.19197234120348,3.1839999644884,3.20003653284621,0.0469181122516427,0.0414086794503651,0.054730409454643,FALSE,TRUE,0.0366621049731439,0.226345880043812,0.976555425245641
"midleg","M1_group_variance","tenth",38,3.28190804520916,3.28792585715118,3.27838101879131,3.29729317896579,0.0297932570765253,0.0323804798467105,0.0488615457898546,TRUE,FALSE,0.0306220991091653,-0.196518596604886,0.981747090408783
"midleg","M2_group_slopes","female",118,3.21128533783437,3.21128533783437,3.20598897863603,3.2167285953608,0.0490536443178977,0.0439078178234927,0.0542443207430912,TRUE,TRUE,0.0304395040497682,-1.49081312266848e-13,0.995718758649274
"midleg","M2_group_slopes","eighth",77,3.08854202901506,3.08914459009327,3.08091945832209,3.09770978293449,0.0553320800719954,0.0492361268032696,0.0639466779369614,TRUE,TRUE,0.0383499223542633,-0.0157121850898337,0.996034444939823
"midleg","M2_group_slopes","ninth",79,3.20027065761788,3.1992383467708,3.19106272454644,3.20675115255073,0.0469181122516427,0.0400794479592021,0.0528484584077684,TRUE,TRUE,0.035951944269459,0.0287136305991947,0.995889358962286
"midleg","M2_group_slopes","tenth",38,3.28190804520916,3.28251158972469,3.27409702148963,3.29106534792219,0.0297932570765253,0.0233177922238029,0.036538796997115,TRUE,TRUE,0.026962803140894,-0.0223843386156516,0.988282627871927
"midleg","M3_free_groups","female",118,3.21128533783437,3.21128533783438,3.20591769074702,3.21660247594238,0.0490536443178977,0.044022837874244,0.0540717318654543,TRUE,TRUE,0.0304395613636523,-3.22095457650128e-13,0.995716883835478
"midleg","M3_free_groups","eighth",77,3.08854202901506,3.08854202901507,3.08065027205496,3.09731880754703,0.0553320800719954,0.0481440293862366,0.0629445868823958,TRUE,TRUE,0.0384285865677247,-2.34734670373709e-13,0.993400050435482
"midleg","M3_free_groups","ninth",79,3.20027065761788,3.20027065761789,3.19232726634235,3.20832023978611,0.0469181122516427,0.0402975483748483,0.0539380189238409,TRUE,TRUE,0.0360251109119875,-2.51240659781471e-13,0.993569841689936
"midleg","M3_free_groups","tenth",38,3.28190804520916,3.28190804520916,3.2734781256487,3.2900256459332,0.0297932570765253,0.023503852146066,0.0366039646523249,TRUE,TRUE,0.0270062400403008,-3.32348184061079e-13,0.98639206430563
"hindleg","M0_original","female",118,3.74196078574507,3.74196078574507,3.7351322697448,3.74879013734282,0.057090246644809,0.0458972502588671,0.0574572846553862,TRUE,TRUE,0.0375911207049295,3.08416192772988e-14,1.01964879337639
"hindleg","M0_original","eighth",76,3.53158650143028,3.53738150440534,3.5287023026847,3.54609779898948,0.0531631198131494,0.0465644702662232,0.0616019527650233,TRUE,TRUE,0.0375911207049295,-0.154158824381718,0.989512496772769
"hindleg","M0_original","ninth",79,3.65053027713622,3.63938039799432,3.6306537776998,3.64771508398101,0.0435550559868974,0.0420355424435834,0.0559301629196423,FALSE,TRUE,0.0375911207049295,0.296609383620619,0.93071767743814
"hindleg","M0_original","tenth",38,3.72745353663988,3.73904354259,3.72732992798964,3.75079477535793,0.0328393885805859,0.0364846336357655,0.0563497353549642,TRUE,FALSE,0.0375911207049295,-0.30831764876347,0.929791129237549
"hindleg","M1_group_variance","female",118,3.74196078574507,3.74196078574507,3.73520410533642,3.74899516263921,0.057090246644809,0.0463875023787726,0.0582341731032997,TRUE,TRUE,0.0384453958989704,4.49974332747546e-14,0.998326854332233
"hindleg","M1_group_variance","eighth",76,3.53158650143028,3.53768739949242,3.52936315840104,3.54606704041217,0.0531631198131494,0.046653333898557,0.0611372421182078,TRUE,TRUE,0.0377334743030245,-0.161683973576023,0.985618902958235
"hindleg","M1_group_variance","ninth",79,3.65053027713622,3.63948610904721,3.63180509375908,3.64744554076283,0.0435550559868974,0.041041104720197,0.0544742282859911,FALSE,TRUE,0.0366005967153645,0.301748306862034,0.955033960299336
"hindleg","M1_group_variance","tenth",38,3.72745353663988,3.73896669317394,3.72680596454004,3.75054235262175,0.0328393885805859,0.0354701577740896,0.0551827748019368,TRUE,FALSE,0.0366532186178102,-0.314110382886435,0.950969189945332
"hindleg","M2_group_slopes","female",118,3.74196078574507,3.74196078574507,3.73541344356265,3.74863181068403,0.057090246644809,0.0510316896647604,0.0631056969830831,TRUE,TRUE,0.0378161512138542,5.83057613489637e-14,0.995717510942117
"hindleg","M2_group_slopes","eighth",76,3.53158650143028,3.5327114797857,3.52419165956738,3.54099126263461,0.0531631198131494,0.0474456963452889,0.0627400350285481,TRUE,TRUE,0.0374350501638764,-0.0300514718292128,0.995494832757755
"hindleg","M2_group_slopes","ninth",79,3.65053027713622,3.64865199807242,3.64079354552033,3.65639561923396,0.0435550559868974,0.0362825506101948,0.0490080588288706,TRUE,TRUE,0.0348721036280057,0.0538619374336314,0.994643071492569
"hindleg","M2_group_slopes","tenth",38,3.72745353663988,3.72903090414071,3.71941239027403,3.73875931721572,0.0328393885805859,0.0251646296087673,0.0401315708043434,TRUE,TRUE,0.0313442427817478,-0.0503239944832695,0.987948931941525
"hindleg","M3_free_groups","female",118,3.74196078574507,3.74196078574506,3.73503106833271,3.74856024961316,0.057090246644809,0.051240259123123,0.0634397815727052,TRUE,TRUE,0.0378161071825227,1.11273749160254e-13,0.995718670309673
