 ,Label,Area,Angle,Length
73,MJSX-3rd leg-left.jpg:2085-2433,0.085,-25.721,16.231
74,MJSX-3rd leg-right.jpg:1442-2262,0.084,-38.214,16.089
75,MJSX-3rd leg-right.jpg:1280-2664,0.096,-35.532,18.316
76,MUVY-3rd leg-left.jpg:1034-2157,0.102,-27.184,19.514
77,MUVY-3rd leg-left.jpg:1775-2090,0.115,-36.582,21.871
78,MUVY-3rd leg-right.jpg:1670-1727,0.104,-32.596,19.876
79,MUVY-3rd leg-right.jpg:1164-2277,0.116,-16.551,22.078
80,NRDG-3rd leg-left.jpg:1055-2298,0.086,-26.810,16.419
81,NRDG-3rd leg-left.jpg:1625-2222,0.094,-32.594,18.009
82,NRDG-3rd leg-right.jpg:1805-2085,0.085,-40.811,16.287
83,NRDG-3rd leg-right.jpg:0813-2756,0.095,-7.785,18.107
84,ONAU-3rd leg-left.jpg:1256-2189,0.100,-25.234,19.068
85,ONAU-3rd leg-left.jpg:1962-2142,0.108,-33.083,20.567
86,ONAU-3rd leg-right.jpg:1523-2346,0.100,-18.240,19.038
87,ONAU-3rd leg-right.jpg:1154-2733,0.108,-10.819,20.522
88,PIKP-3rd leg-left.jpg:2412-3141,0.099,-0.286,18.868
89,PIKP-3rd leg-left.jpg:1466-2888,0.114,-16.497,21.760
90,PIKP-3rd leg-right.jpg:1643-1868,0.101,-31.862,19.272
91,PIKP-3rd leg-right.jpg:0932-2520,0.113,-12.452,21.512
92,PTRO-3rd leg-left.jpg:1248-2153,0.100,-18.510,19.018
93,PTRO-3rd leg-left.jpg:1938-2063,0.104,-29.801,19.805
94,PTRO-3rd leg-right.jpg:1734-3060,0.098,-27.553,18.763
95,PTRO-3rd leg-right.jpg:2184-2619,0.104,-17.920,19.929
96,PZMO-3rd leg-left.jpg:2598-2753,0.083,6.809,15.914
97,PZMO-3rd leg-left.jpg:1493-2837,0.088,-28.265,16.834
98,PZMO-3rd leg-right.jpg:2022-1883,0.079,-61.452,15.036
99,PZMO-3rd leg-right.jpg:1223-2867,0.085,-20.510,16.200
100,QDVU-3rd leg-left.jpg:2450-3146,0.103,-26.913,19.696
101,QDVU-3rd leg-left.jpg:1856-3138,0.115,-30.310,21.964
102,QDVU-3rd leg-right.jpg:1782-3453,0.101,-27.275,19.282
103,QDVU-3rd leg-right.jpg:2214-2996,0.109,-22.463,20.740
104,QRKY-3rd leg-left.jpg:1136-2435,0.104,-24.715,19.818
105,QRKY-3rd leg-left.jpg:1847-2126,0.107,-36.580,20.500
106,QRKY-3rd leg-right.jpg:1553-1821,0.107,-30.396,20.416
107,QRKY-3rd leg-right.jpg:1091-2166,0.105,-23.028,20.057
108,QSRM-3rd leg-left.jpg:1338-2561,0.094,-21.839,18.006
109,QSRM-3rd leg-left.jpg:1808-2259,0.106,-31.769,20.158
110,QSRM-3rd leg-right.jpg:1887-2406,0.096,-19.276,18.289
111,QSRM-3rd leg-right.jpg:1454-1998,0.105,-19.358,20.065
112,RDRL-3rd leg-left.jpg:1329-2018,0.091,-22.552,17.383
113,RDRL-3rd leg-left.jpg:1886-1854,0.091,-30.421,17.358
114,RDRL-3rd leg-right.jpg:1202-1778,0.091,-29.456,17.425
115,RDRL-3rd leg-right.jpg:0885-2067,0.093,-19.887,17.657
