 ,Label,Area,Length
185,SDBA-1st leg-right.jpg:0909-2163,0.066,12.749
186,SDBA-1st leg-right.jpg:0672-1650,2.736,0
187,SDVC-1st leg-right.jpg:1901-1586,0.068,13.215
188,SDVC-1st leg-right.jpg:1136-1899,0.071,13.735
189,SDVC-1st leg-right.jpg:1116-1296,3.297,0
190,SFBL-1st leg-right.jpg:1625-1859,0.062,12.059
191,SFBL-1st leg-right.jpg:0801-2382,0.066,12.863
192,SFBL-1st leg-right.jpg:0685-1900,3.19,12.838
193,SGBK-1st leg-right.jpg:1589-1394,0.065,12.588
194,SGBK-1st leg-right.jpg:1034-1997,0.071,13.803
195,SGBK-1st leg-right.jpg:0790-1533,3.766,0
196,SMVB-1st leg-right.jpg:1578-1268,0.06,11.752
197,SMVB-1st leg-right.jpg:0747-1757,0.064,12.443
198,SMVB-1st leg-right.jpg:0634-1260,2.813,0
199,SMXT-1st leg-right.jpg:1616-3350,0.052,10.192
200,SMXT-1st leg-right.jpg:2183-2681,0.055,10.71
201,SMXT-1st leg-right.jpg:2418-3022,1.966,0
202,SNCY-1st leg-right.jpg:1535-1865,0.064,12.511
203,SNCY-1st leg-right.jpg:0977-2195,0.068,13.255
204,SNCY-1st leg-right.jpg:0888-1677,3.149,0
205,SNDZ-1st leg-right.jpg:1772-2064,0.065,12.648
206,SNDZ-1st leg-right.jpg:1025-2505,0.07,13.525
207,SNDZ-1st leg-right.jpg:1003-1960,3.815,0
208,SQCA-1st leg-right.jpg:1517-1985,0.068,13.293
209,SQCA-1st leg-right.jpg:0959-2156,0.071,13.739
210,SQCA-1st leg-right.jpg:1024-1582,3.462,0
211,SSQG-1st leg-right.jpg:1826-1472,0.071,13.768
212,SSQG-1st leg-right.jpg:1283-2121,0.073,14.121
213,SSQG-1st leg-right.jpg:0973-1581,3.689,0
214,SVLP-1st leg-right.jpg:1245-1994,0.063,12.308
215,SVLP-1st leg-right.jpg:0980-2282,0.066,12.77
216,SVLP-1st leg-right.jpg:0715-1813,2.797,0
217,SXDN-1st leg-right.jpg:1496-3014,0.059,11.367
218,SXDN-1st leg-right.jpg:1893-2738,0.061,11.896
219,SXDN-1st leg-right.jpg:2037-3180,2.51,0
220,SYKW-1st leg-right.jpg:1319-2297,0.071,13.77
221,SYKW-1st leg-right.jpg:0851-2700,0.074,14.382
222,SYKW-1st leg-right.jpg:0661-2151,3.753,0
223,TABC-1st leg-right.jpg:1667-1724,0.063,12.196
224,TABC-1st leg-right.jpg:1224-2096,0.066,12.738
225,TABC-1st leg-right.jpg:1063-1582,2.66,0
226,TART-1st leg-right.jpg:1235-3150,0.059,11.368
227,TART-1st leg-right.jpg:2067-3510,0.065,12.594
228,TART-1st leg-right.jpg:1744-3867,2.779,0
229,TKBC-1st leg-right.jpg:1875-3788,0.065,12.692
230,TKBC-1st leg-right.jpg:2240-3458,0.066,12.845
231,TKBC-1st leg-right.jpg:2434-3979,2.515,0
232,TKSH-1st leg-right.jpg:1451-3183,0.066,12.918
233,TKSH-1st leg-right.jpg:1895-3003,0.069,13.408
234,TKSH-1st leg-right.jpg:1941-3531,3.047,0
235,TRCQ-1st leg-right.jpg:1191-3275,0.061,11.845
236,TRCQ-1st leg-right.jpg:2063-3227,0.068,13.139
237,TRCQ-1st leg-right.jpg:1927-3774,2.99,0
238,TSNP-1st leg-right.jpg:1847-1595,0.065,12.702
239,TSNP-1st leg-right.jpg:1385-2043,0.069,13.405
240,TSNP-1st leg-right.jpg:1239-1498,2.952,0
241,TSPY-1st leg-right.jpg:1719-2244,0.056,10.97
242,TSPY-1st leg-right.jpg:1323-2382,0.061,11.865
243,TSPY-1st leg-right.jpg:1276-1959,3.135,0
244,TWQN-1st leg-right.jpg:1689-2040,0.057,11.053
245,TWQN-1st leg-right.jpg:0815-2573,0.059,11.559
246,TWQN-1st leg-right.jpg:0682-2149,2.495,0
247,UCYK-1st leg-right.jpg:1581-2304,0.057,11.006
248,UCYK-1st leg-right.jpg:1263-2589,0.06,11.562
249,UCYK-1st leg-right.jpg:1093-2157,2.664,0
250,UHRS-1st leg-right.jpg:1913-2379,0.064,12.344
251,UHRS-1st leg-right.jpg:1112-2792,0.069,13.474
252,UHRS-1st leg-right.jpg:1081-2251,3.138,0
253,UKOQ-1st leg-right.jpg:2024-1967,0.069,13.445
254,UKOQ-1st leg-right.jpg:1224-2438,0.073,14.112
255,UKOQ-1st leg-right.jpg:1092-1869,3.427,0
256,ULBD-1st leg-right.jpg:1839-2685,0.069,13.391
257,ULBD-1st leg-right.jpg:1526-2909,0.074,14.293
258,ULBD-1st leg-right.jpg:1341-2379,3.814,0
259,UMXA-1st leg-right.jpg:2102-1932,0.061,11.889
