 ,Label,Area,Angle,Length
154,QDVU-1st leg-right.jpg:1565-2522,0.069,-19.176,13.068
155,QDVU-1st leg-right.jpg:1372-2064,3.079,0.000,0.000
156,QRKY-1st leg-left.jpg:1364-3353,0.060,68.272,11.425
157,QRKY-1st leg-left.jpg:1053-2780,0.064,37.031,12.270
158,QRKY-1st leg-left.jpg:0756-3126,2.897,0.000,0.000
159,QRKY-1st leg-right.jpg:1547-2069,0.059,-74.940,11.316
160,QRKY-1st leg-right.jpg:1416-2706,0.062,-53.494,11.893
161,QRKY-1st leg-right.jpg:1026-2446,2.655,0.000,0.000
162,QSRM-1st leg-left.jpg:1296-2877,0.068,-20.491,13.025
163,QSRM-1st leg-left.jpg:1959-2633,0.069,-40.409,13.195
164,QSRM-1st leg-left.jpg:1609-2238,3.260,0.000,0.000
165,QSRM-1st leg-right.jpg:1884-1800,0.068,-26.131,12.995
166,QSRM-1st leg-right.jpg:1383-2025,0.069,-3.687,13.203
167,QSRM-1st leg-right.jpg:1330-1477,3.156,0.000,0.000
168,RDRL-1st leg-left.jpg:0747-1607,0.062,-6.567,11.823
169,RDRL-1st leg-left.jpg:1653-1331,0.065,-42.264,12.344
170,RDRL-1st leg-left.jpg:1350-0955,2.631,0.000,0.000
171,RDRL-1st leg-right.jpg:2288-1619,0.061,-22.673,11.707
172,RDRL-1st leg-right.jpg:1107-1646,0.066,31.419,12.547
173,RDRL-1st leg-right.jpg:1293-1206,2.437,0.000,0.000
174,SEVZ-1st leg-left.jpg:1400-3803,0.070,-52.419,13.432
175,SEVZ-1st leg-left.jpg:1101-1808,0.075,29.807,14.297
176,SEVZ-1st leg-left.jpg:0756-2209,3.509,0.000,0.000
177,SMVB-1st leg-left.jpg:1800-1623,0.062,-0.151,11.918
178,SMVB-1st leg-left.jpg:2346-1706,0.065,-12.576,12.421
179,SMVB-1st leg-left.jpg:2275-1192,2.567,0.000,0.000
180,SMVB-1st leg-right.jpg:1539-1292,0.062,-49.043,11.826
181,SMVB-1st leg-right.jpg:0752-1757,0.066,-3.483,12.681
182,SMVB-1st leg-right.jpg:0630-1251,2.673,0.000,0.000
183,SMXT-1st leg-left.jpg:1080-1982,0.055,-10.103,10.397
184,SMXT-1st leg-left.jpg:1608-1941,0.057,-27.457,10.844
185,SMXT-1st leg-left.jpg:1422-1539,2.046,0.000,0.000
186,SMXT-1st leg-right.jpg:1629-3342,0.055,-75.503,10.426
187,SMXT-1st leg-right.jpg:2186-2678,0.057,-24.816,10.827
188,SMXT-1st leg-right.jpg:2418-3024,1.939,0.000,0.000
189,TKSH-1st leg-left.jpg:1163-1869,0.070,-12.959,13.391
190,TKSH-1st leg-left.jpg:1796-1791,0.070,-26.565,13.325
191,TKSH-1st leg-left.jpg:1555-1308,2.387,0.000,0.000
192,TKSH-1st leg-right.jpg:1340-3234,0.070,-16.492,13.348
193,TKSH-1st leg-right.jpg:1893-3005,0.072,-2.504,13.677
194,TKSH-1st leg-right.jpg:1933-3522,3.125,0.000,0.000
195,UKOQ-1st leg-left.jpg:1260-2139,0.072,-25.390,13.715
196,UKOQ-1st leg-left.jpg:1949-1845,0.075,-44.689,14.331
197,UKOQ-1st leg-left.jpg:1582-1395,3.308,0.000,0.000
198,UKOQ-1st leg-right.jpg:2019-1973,0.072,-44.860,13.686
199,UKOQ-1st leg-right.jpg:1212-2439,0.075,-5.786,14.350
200,UKOQ-1st leg-right.jpg:1086-1858,3.545,0.000,0.000
201,UNBX-1st leg-left.jpg:2454-3201,0.060,-36.964,11.453
202,UNBX-1st leg-left.jpg:1920-3396,0.066,-52.561,12.674
203,UNBX-1st leg-left.jpg:2341-3744,2.538,0.000,0.000
204,UNBX-1st leg-right.jpg:1764-1629,0.060,-57.844,11.403
205,UNBX-1st leg-right.jpg:1403-2201,0.065,-30.135,12.308
206,UNBX-1st leg-right.jpg:1116-1750,2.557,0.000,0.000
207,UQVJ-1st leg-left.jpg:1115-2306,0.063,-7.688,12.106
208,UQVJ-1st leg-left.jpg:1781-2214,0.064,-26.962,12.172
209,UQVJ-1st leg-left.jpg:1549-1782,2.776,0.000,0.000
210,UQVJ-1st leg-right.jpg:1332-1298,0.064,-28.386,12.171
211,UQVJ-1st leg-right.jpg:0849-1527,0.064,-4.253,12.298
212,UQVJ-1st leg-right.jpg:0822-1032,2.627,0.000,0.000
213,UWVR-1st leg-left.jpg:1119-2595,0.063,-17.488,12.034
214,UWVR-1st leg-left.jpg:1613-2532,0.065,-32.499,12.379
215,UWVR-1st leg-left.jpg:1387-2100,2.677,0.000,0.000
216,UWVR-1st leg-right.jpg:1976-2460,0.062,-22.351,11.866
217,UWVR-1st leg-right.jpg:2433-2169,0.065,-6.727,12.349
218,UWVR-1st leg-right.jpg:2512-2620,2.933,0.000,0.000
219,UYSP-1st leg-left.jpg:1557-2255,0.073,-12.515,13.932
220,UYSP-1st leg-left.jpg:2205-2187,0.074,-26.622,14.176
221,UYSP-1st leg-left.jpg:2016-1662,3.942,0.000,0.000
222,UYSP-1st leg-right.jpg:1650-2049,0.074,-34.581,14.017
223,UYSP-1st leg-right.jpg:1215-2369,0.073,-14.773,13.935
224,UYSP-1st leg-right.jpg:1042-1804,3.404,0.000,0.000
225,VFPH-1st leg-left.jpg:1028-2114,0.072,-34.728,13.717
226,VFPH-1st leg-left.jpg:1596-1838,0.072,-46.991,13.761
227,VFPH-1st leg-left.jpg:1210-1411,3.041,0.000,0.000
228,VFPH-1st leg-right.jpg:1548-1769,0.070,-46.097,13.355
229,VFPH-1st leg-right.jpg:1205-2130,0.071,-26.685,13.480
230,VFPH-1st leg-right.jpg:0912-1648,3.194,0.000,0.000
231,WHVM-1st leg-left.jpg:1217-2436,0.072,-23.328,13.698
232,WHVM-1st leg-left.jpg:1827-2274,0.075,-37.199,14.252
233,WHVM-1st leg-left.jpg:1474-1794,3.086,0.000,0.000
234,WHVM-1st leg-right.jpg:1781-2121,0.072,-38.896,13.697
235,WHVM-1st leg-right.jpg:1397-2504,0.076,-19.028,14.420
236,WHVM-1st leg-right.jpg:1188-1927,3.508,0.000,0.000
237,WJST-1st leg-left.jpg:1403-1470,0.066,-7.817,12.601
238,WJST-1st leg-left.jpg:1974-1395,0.068,-29.068,12.880
239,WJST-1st leg-left.jpg:1758-0970,3.428,0.000,0.000
240,WJST-1st leg-right.jpg:1599-2025,0.066,-36.038,12.561
241,WJST-1st leg-right.jpg:1166-2364,0.067,-15.532,12.859
242,WJST-1st leg-right.jpg:1009-1905,3.433,0.000,0.000
243,WWFJ-1st leg-left.jpg:1314-1598,0.058,-1.138,11.087
244,WWFJ-1st leg-left.jpg:2130-1503,0.062,-32.412,11.734
245,WWFJ-1st leg-left.jpg:1906-1108,2.489,0.000,0.000
