 ,Label,Area,Angle,Length
42,JDYH-3rd leg-left.jpg:1725-1979,0.099,-38.080,18.916
43,JDYH-3rd leg-right.jpg:1385-2108,0.090,-19.889,17.239
44,JDYH-3rd leg-right.jpg:1197-2415,0.101,-12.245,19.275
45,JUCL-3rd leg-left.jpg:1074-2264,0.099,-10.399,18.815
46,JUCL-3rd leg-left.jpg:2160-1931,0.105,-35.836,20.035
47,JUCL-3rd leg-right.jpg:1368-2157,0.099,-30.393,18.957
48,JUCL-3rd leg-right.jpg:1223-2420,0.104,-25.532,19.882
49,JUJH-3rd leg-Right.jpg:1764-3032,0.102,2.512,19.374
50,JUJH-3rd leg-Right.jpg:1314-2805,0.110,-6.880,21.000
51,JUJH-3rd leg-left.jpg:1637-3384,0.098,-10.275,18.600
52,JUJH-3rd leg-left.jpg:2336-3087,0.107,2.426,20.427
53,JXVQ-3rd leg-left.jpg:1371-2240,0.099,-32.387,18.787
54,JXVQ-3rd leg-left.jpg:1748-2001,0.110,-35.961,21.018
55,JXVQ-3rd leg-right.jpg:1332-1877,0.097,-35.068,18.500
56,JXVQ-3rd leg-right.jpg:1008-2391,0.109,-23.381,20.761
57,LAZJ-3rd leg-left.jpg:1616-2142,0.098,-19.149,18.741
58,LAZJ-3rd leg-left.jpg:2070-2220,0.105,-24.474,20.039
59,LAZJ-3rd leg-right.jpg:1934-2172,0.098,-33.944,18.726
60,LLJC-3rd leg-left.jpg:2291-3260,0.097,-28.162,18.423
61,LLJC-3rd leg-left.jpg:1649-3273,0.110,-40.904,21.011
62,LLJC-3rd leg-right.jpg:1878-3068,0.102,-27.746,19.454
63,LLJC-3rd leg-right.jpg:2192-2579,0.114,-17.307,21.722
64,LRSS-3rd leg-left.jpg:1824-3189,0.109,-19.065,20.795
65,LRSS-3rd leg-left.jpg:1538-3305,0.109,-26.740,20.722
66,LRSS-3rd leg-right.jpg:1950-1961,0.101,-15.842,19.237
67,LRSS-3rd leg-right.jpg:1754-2289,0.116,-9.073,22.037
68,LUXM-3rd leg-left.jpg:2238-3261,0.105,-15.822,20.068
69,LUXM-3rd leg-left.jpg:1694-3135,0.118,-26.136,22.523
70,LUXM-3rd leg-right.jpg:1938-3272,0.106,-34.087,20.143
71,LUXM-3rd leg-right.jpg:2358-2670,0.117,-24.764,22.372
72,MJSX-3rd leg-left.jpg:2012-2445,0.084,-23.604,16.061
73,MJSX-3rd leg-right.jpg:1451-2261,0.084,-38.424,16.116
74,MJSX-3rd leg-right.jpg:1298-2658,0.096,-35.829,18.346
75,MUVY-3rd leg-left.jpg:1034-2157,0.103,-27.100,19.570
76,MUVY-3rd leg-left.jpg:1778-2091,0.115,-36.557,21.884
77,MUVY-3rd leg-right.jpg:1662-1731,0.104,-32.485,19.907
78,MUVY-3rd leg-right.jpg:1161-2280,0.116,-16.574,22.048
79,NRDG-3rd leg-left.jpg:1050-2294,0.086,-26.688,16.384
80,NRDG-3rd leg-left.jpg:1632-2222,0.094,-32.744,17.965
81,NRDG-3rd leg-right.jpg:1704-2150,0.087,-44.961,16.510
82,NRDG-3rd leg-right.jpg:0813-2747,0.095,-7.687,18.103
83,ONAU-3rd leg-left.jpg:1254-2187,0.100,-24.920,19.106
84,ONAU-3rd leg-left.jpg:1967-2144,0.108,-32.901,20.581
85,ONAU-3rd leg-right.jpg:1470-2357,0.100,-20.031,19.095
86,ONAU-3rd leg-right.jpg:1142-2723,0.107,-10.601,20.427
87,PIKP-3rd leg-left.jpg:2288-3111,0.098,3.222,18.740
88,PIKP-3rd leg-left.jpg:1457-2898,0.113,-16.763,21.643
89,PIKP-3rd leg-right.jpg:1584-1934,0.100,-34.083,19.079
90,PIKP-3rd leg-right.jpg:0930-2523,0.113,-12.375,21.570
91,PTRO-3rd leg-left.jpg:1224-2163,0.100,-19.514,19.017
92,PTRO-3rd leg-left.jpg:1943-2066,0.104,-29.796,19.840
93,PTRO-3rd leg-right.jpg:1794-3032,0.099,-29.887,18.806
94,PTRO-3rd leg-right.jpg:2190-2654,0.103,-18.042,19.596
95,PZMO-3rd leg-left.jpg:2561-2753,0.084,8.082,15.992
96,PZMO-3rd leg-left.jpg:1503-2837,0.088,-28.645,16.859
97,PZMO-3rd leg-right.jpg:2031-1854,0.080,-59.607,15.166
98,PZMO-3rd leg-right.jpg:1176-2901,0.086,-18.365,16.368
99,QDVU-3rd leg-left.jpg:2441-3156,0.103,-27.590,19.657
100,QDVU-3rd leg-left.jpg:1859-3138,0.115,-30.422,21.953
101,QDVU-3rd leg-right.jpg:1776-3455,0.101,-27.045,19.295
102,QDVU-3rd leg-right.jpg:2204-3000,0.109,-22.827,20.710
103,QRKY-3rd leg-left.jpg:1116-2402,0.102,-24.717,19.403
104,QRKY-3rd leg-left.jpg:1842-2129,0.108,-36.440,20.541
105,QRKY-3rd leg-right.jpg:1440-1809,0.105,-32.638,19.941
106,QRKY-3rd leg-right.jpg:1097-2181,0.106,-23.169,20.181
107,QSRM-3rd leg-left.jpg:1325-2564,0.094,-22.053,17.965
108,QSRM-3rd leg-left.jpg:1815-2289,0.108,-31.400,20.521
